,cluster,convrs,vec,distance,token
0,0,암 예방도 된다니까 수확해서 실컷 많이 먹어야겠다는 생각도 했고,"[ 0.08427659 -0.03927671 -0.00931778  0.09701952 -0.14990039  0.01411559
  0.00426949 -0.0033511   0.05344151  0.06954678  0.06590142 -0.01130663
  0.03152043 -0.10979006  0.0580411  -0.12651049  0.0181219  -0.00795201
  0.04303107 -0.02180533  0.08398151 -0.06927577 -0.12618798  0.01477145
 -0.15336317  0.0141132  -0.04297187 -0.02399722 -0.10619161 -0.23836721
  0.11776304 -0.18140343  0.1245922   0.04450854 -0.04309592  0.06986927
 -0.13652524  0.02919872 -0.06170088 -0.00823435  0.10697525  0.04110559
  0.07737807  0.01819615 -0.06187788  0.00187566  0.02583242  0.13863663
  0.0134251  -0.02393057  0.08205966  0.03658531  0.07009853 -0.03917962
 -0.07490569 -0.00412829  0.13556242 -0.08642419 -0.02927986 -0.04757793
  0.08127374 -0.21979897 -0.12007676  0.04061214 -0.00198645  0.02897395
 -0.11127409 -0.04518388  0.1307037   0.06750725  0.12231299 -0.14944367
  0.08257567 -0.0498139  -0.06164773  0.05195735  0.10141956 -0.02338675
  0.15578212 -0.02578309  0.02828785  0.2130419   0.0077278  -0.06063153
  0.0879638  -0.20882617  0.00554175 -0.13031597 -0.0576733   0.01118555
 -0.00476079  0.00840644  0.11827887  0.10345499  0.05489374  0.09134008
 -0.03573023  0.01683859 -0.09063547 -0.02148955]",0.364886791502146,"['예방', '수확', '생각']"
1,0,암 에방도 된다니까 수확해서 실컷 많이 먹어야겠다는 생각도 했고,"[ 0.08300022 -0.08528662  0.02055063  0.12441985 -0.19759724  0.03489324
  0.01866857 -0.00659328  0.02606027  0.05144873  0.08107367 -0.02725372
  0.025219   -0.13048148  0.04539192 -0.110995    0.03624744 -0.03172469
  0.04993977 -0.02498432  0.07744894 -0.0573562  -0.14335717  0.00944432
 -0.14445005  0.01147946 -0.06642672 -0.01323414 -0.11323298 -0.24813735
  0.09250551 -0.17454302  0.11581445  0.03095391 -0.02035888  0.07249779
 -0.11957774  0.03440756 -0.08893777 -0.00990088  0.10846607  0.03120925
  0.08842877  0.03486224 -0.05308402 -0.01902392  0.03051903  0.15254723
 -0.0177242  -0.03001972  0.11272113  0.03353235  0.05739234 -0.01050607
 -0.08090578 -0.0335005   0.11745556 -0.08961543 -0.05976957 -0.04889093
  0.06836664 -0.24695502 -0.0972531   0.04408312  0.01620868  0.02937518
 -0.09053577 -0.05346973  0.10929594  0.07076218  0.11037281 -0.18063349
  0.08010439 -0.05208677 -0.0493015   0.08191668  0.10348006 -0.04775463
  0.15746777 -0.03458916  0.0295219   0.19386837 -0.01386302 -0.06212036
  0.06026455 -0.23990014  0.00939034 -0.1281105  -0.06200701  0.01125289
 -0.03091523 -0.02128698  0.09699799  0.13781834  0.03860841  0.08122598
 -0.02286353 -0.00610059 -0.08373622 -0.02135553]",0.38992794022203037,"['수확', '생각']"
2,0,혈액 암이 한군데 이렇게 머물러있는 게 아니라  이 혈액을 타고 우리 몸에 돌더라고,"[ 0.08369887 -0.06323772  0.10389776  0.2072475  -0.13431334  0.04158805
  0.0048419  -0.00838547  0.01104018  0.03978009 -0.01565835  0.05195174
 -0.0153671  -0.16059615  0.06474683 -0.0353726   0.01390665 -0.02540512
  0.03138642  0.03735925  0.07104555 -0.01643871 -0.08356367  0.01980024
 -0.12267672 -0.0321577  -0.05847693 -0.00958154 -0.12353029 -0.1458749
  0.13561158 -0.11995821  0.16236708 -0.06902227 -0.04209851  0.1143342
 -0.06211076  0.09659188 -0.09233723  0.00637775 -0.01274089  0.0226314
 -0.00994144  0.03445626 -0.09356309 -0.06502698  0.00036858  0.12235595
 -0.04928816 -0.06803317  0.1695977   0.05587574  0.10934172  0.06322297
 -0.02542042  0.02705341  0.13110177 -0.03017591 -0.11864266 -0.04404615
  0.01571871 -0.21181868  0.01898091  0.05028704  0.01843207 -0.04112032
 -0.05008936  0.00930447  0.04822303  0.09463049  0.14510803 -0.15299785
  0.05726958 -0.0396026  -0.04242174  0.10480317  0.03672641 -0.02613309
  0.11374775 -0.07093816  0.01780786  0.1313716  -0.05540967 -0.04038757
  0.03850979 -0.26951686  0.00427805 -0.05813419 -0.03568437  0.04983196
 -0.06383227 -0.0204516   0.12625453  0.1581701   0.03899652  0.06120558
 -0.0607089  -0.08373313  0.01452758  0.02428693]",0.398776837782719,"['혈액', '혈액']"
3,0,그래서 내년에는 옥수수 안 짓고 그냥 복숭아만 농사 지을까 해,"[ 0.11996963 -0.0675392  -0.01984685  0.1187102  -0.20679897  0.04228798
  0.00495414  0.01833378  0.08304008  0.06895165  0.10001221  0.00332684
  0.04178529 -0.15643875  0.06364213 -0.14241175 -0.00496808 -0.03109307
 -0.00636582 -0.03308748  0.14049193 -0.0468531  -0.17506666  0.01535815
 -0.17108932 -0.00218785 -0.08187937 -0.04473309 -0.1626556  -0.29906735
  0.11866687 -0.20319243  0.11081021  0.08032101 -0.04326627  0.06967961
 -0.12870742  0.05108746 -0.0823475  -0.0093995   0.11950008  0.03798966
  0.13567786  0.02925757 -0.06230669  0.01908411  0.00656091  0.17477134
 -0.01043443 -0.00407725  0.137974    0.07024675  0.09421895 -0.02577408
 -0.03993581 -0.0174718   0.1305302  -0.11572611 -0.03758664 -0.13007025
  0.06422789 -0.31894675 -0.12799641  0.05474409  0.03685106  0.03530364
 -0.15044391 -0.08858443  0.13246703  0.08392641  0.11879338 -0.2089191
  0.09340543 -0.00725077 -0.05399093  0.10792473  0.12132207 -0.08801176
  0.25264114 -0.00684388  0.04530777  0.2608758  -0.00607834 -0.06547531
  0.10865124 -0.259245    0.03165607 -0.1584005  -0.02390053 -0.02821323
 -0.01581192  0.02398045  0.13233863  0.17108218  0.057188    0.09537386
 -0.04413705  0.02001894 -0.09498844 -0.02142811]",0.42533965154821357,"['내년', '옥수수', '복숭아', '농사']"
4,0,혈액 암이 한군데 이렇게 뭉쳐가 있는 게 아니고 혈액을 타고 우리 몸을 온데 돌아댕긴다 카드라,"[ 0.12757342 -0.04955403  0.1264434   0.25767055 -0.15788043  0.02023399
  0.01331679  0.00734694  0.03699883  0.05069159 -0.04255674  0.08578993
 -0.01800772 -0.20875211  0.09810957 -0.06040405 -0.0124183  -0.02570853
  0.03092993  0.06308113  0.10331473 -0.04388566 -0.09292107  0.0166676
 -0.15232074 -0.05927833 -0.08586726 -0.02968029 -0.17424905 -0.18241298
  0.172692   -0.1673962   0.2015868  -0.11770815 -0.07503308  0.14920197
 -0.09519471  0.13815385 -0.13141921  0.01590897 -0.05705388  0.03457616
 -0.02028798  0.04497281 -0.1376037  -0.07573606  0.01235096  0.14954059
 -0.05919512 -0.06581742  0.22788171  0.07755534  0.16502002  0.08278343
 -0.01513798  0.04602421  0.2049438  -0.02986737 -0.1683317  -0.08718262
  0.03401324 -0.26705337  0.03056609  0.04941753  0.00844081 -0.06931952
 -0.06841078  0.01246136  0.06694242  0.12225241  0.19055177 -0.1727657
  0.06628254 -0.02490379 -0.07861437  0.11092978  0.03928528 -0.00325216
  0.16525875 -0.10027374  0.01648357  0.18091774 -0.07250538 -0.04214841
  0.05575246 -0.35120517  0.00112043 -0.06964619 -0.04372502  0.0752309
 -0.10161509 -0.00604623  0.17405125  0.19885261  0.06915978  0.06212975
 -0.07814329 -0.10061886  0.03802515  0.06640747]",0.4614880159743847,"['혈액', '혈액', '카드라']"
5,0, 지은 옥수수 농사는 내년부터는 안 지을 거고 복숭아도 있는데,"[ 0.10984252 -0.08161521 -0.01880828  0.13102934 -0.22459756  0.04435903
 -0.00347138  0.00819682  0.08171137  0.07116189  0.1050634  -0.00749133
  0.04028252 -0.16890372  0.06448202 -0.15344694  0.00615096 -0.03735147
 -0.00149988 -0.03670943  0.13652351 -0.0447754  -0.18612088  0.02412119
 -0.17733924 -0.00157771 -0.07938854 -0.0393922  -0.16722241 -0.32303533
  0.12231187 -0.20621756  0.12235937  0.08265143 -0.04318931  0.08158138
 -0.12566233  0.04567922 -0.09371502 -0.01901721  0.12597443  0.03717007
  0.14210856  0.02947686 -0.05787445  0.01877971  0.01083212  0.17642994
 -0.02167166 -0.00513437  0.14791007  0.07274641  0.0997793  -0.02233389
 -0.05075669 -0.02112587  0.1407394  -0.11324494 -0.04196209 -0.12321448
  0.06151454 -0.3417741  -0.13198322  0.05713704  0.03451711  0.02677034
 -0.15036786 -0.09080755  0.13848424  0.08983777  0.13336033 -0.22845225
  0.10335504 -0.01436803 -0.06039593  0.11623849  0.13047805 -0.09601696
  0.25698817 -0.00939508  0.04323707  0.27140626 -0.01390644 -0.06746608
  0.11159172 -0.27644923  0.02875157 -0.17356591 -0.0292466  -0.02128432
 -0.01386589  0.01852835  0.13178577  0.17872015  0.05555929  0.09486124
 -0.03973098  0.01932513 -0.09707341 -0.02681181]",0.46177252475952,"['옥수수', '농사', '내년', '복숭아']"
6,0,친구들 지난겨울에 보면 둘이 어디 걸려서 넘어진 것도 아니거든요,"[ 0.01565444 -0.11495209  0.12116845  0.21011768 -0.10297197  0.01781275
 -0.01437937  0.0224266   0.04985107  0.03430941  0.02068484  0.05487683
 -0.02907789 -0.12834764  0.05034342 -0.03852544 -0.00818338 -0.05321894
  0.07889205  0.06587887  0.11682911  0.08446871 -0.00439075 -0.0467903
 -0.09401061 -0.10209946 -0.0438755  -0.01783016 -0.11976594 -0.13000531
  0.10888023 -0.05539503  0.12941167 -0.02622112 -0.02448401  0.08009589
 -0.08203976  0.03573334 -0.16833721 -0.04919473 -0.07742664 -0.01106299
  0.0288125   0.02568297 -0.08561508 -0.00440253  0.0114898   0.09520711
 -0.03614436 -0.05213008  0.14061514  0.02104138  0.0627235   0.04686452
  0.01914251  0.11990155  0.19387089 -0.06725734 -0.09990393 -0.10289067
  0.07760281 -0.12841666  0.04327446  0.05983192 -0.0364771  -0.08468669
 -0.02450183  0.10824101  0.03731004  0.05024485  0.16695017 -0.13865532
  0.08977618 -0.01541114 -0.05592032  0.08669397  0.05540786 -0.04634274
  0.16482577 -0.05115323 -0.02136001  0.17421044 -0.09582102 -0.03565421
  0.05961309 -0.19883887  0.0432635  -0.06561494  0.01997655  0.04412977
 -0.07430058 -0.02565931  0.05446284  0.17688757  0.06421789  0.09094881
 -0.06352059  0.00716704  0.1040034   0.00540721]",0.4664385697450815,"['친구', '겨울']"
7,0,나 혼자 산에 가거나 다른 친구들하고 산에 가고 그랬었단 말이야,"[ 0.03439905 -0.09003809  0.11052879  0.20826098 -0.07370385  0.01882299
 -0.03129745  0.00497294  0.03648553  0.04816288  0.00434339  0.07551029
 -0.04534683 -0.09273703  0.05895941 -0.06536786 -0.01537286 -0.00479816
  0.09869693  0.0725544   0.08958626  0.03952898 -0.01336642 -0.00659424
 -0.08009472 -0.05486978 -0.02906244  0.00995403 -0.09730604 -0.11052732
  0.11332332 -0.04807949  0.12599276 -0.04874533 -0.03315318  0.07726119
 -0.09099445  0.02620888 -0.14190853 -0.0220529  -0.08312076 -0.00379649
  0.02791787  0.03252971 -0.07689495 -0.02262803 -0.00343916  0.10164764
 -0.01418386 -0.06020649  0.1261812   0.01142118  0.05494184  0.05809846
  0.00708935  0.08252099  0.17291634 -0.05788753 -0.09624388 -0.05535113
  0.08225819 -0.12627251  0.0509056   0.08261609 -0.0350446  -0.07994681
  0.00253191  0.09950183  0.02908418  0.02912564  0.1807465  -0.11926915
  0.1102485  -0.03281491 -0.05661281  0.08319224  0.05032455 -0.05774588
  0.15512542 -0.04510361 -0.01774606  0.16269518 -0.07114174 -0.02835113
  0.06819348 -0.2027182   0.01620273 -0.0655693   0.01459899  0.04195458
 -0.10075696 -0.0204534   0.05319556  0.13747028  0.0700494   0.09093581
 -0.05789551  0.02081997  0.09650408 -0.01557818]",0.4682992697859726,"['혼자', '친구']"
8,0,올해 지은 옥수수 농사는 내년부터는 안 지을 거고 복숭아도 있는데,"[ 0.12735422 -0.03216067 -0.05610335  0.08707509 -0.17562427  0.0162141
  0.00686826  0.05105433  0.1329206   0.08767828  0.09478852  0.01356218
  0.06432863 -0.14583929  0.0736858  -0.17189357 -0.03918787  0.00267152
 -0.02076734 -0.03631579  0.16075069 -0.06138055 -0.17554356  0.0096742
 -0.17896746 -0.00515084 -0.07567222 -0.07683678 -0.18347463 -0.30942425
  0.12748343 -0.22514662  0.09839333  0.0846359  -0.05762144  0.05806979
 -0.1562317   0.05852452 -0.08070491 -0.01272822  0.10426218  0.0473235
  0.16506454  0.04029354 -0.07276643  0.05678194  0.01951606  0.18474235
  0.01740039  0.01866887  0.12718529  0.08344569  0.10515042 -0.0467255
 -0.02649152  0.00422591  0.15517509 -0.12700187 -0.01206546 -0.1633622
  0.08893384 -0.32860148 -0.16764423  0.0370435   0.03340259  0.02496242
 -0.16498187 -0.11385839  0.15385593  0.06914694  0.1317768  -0.1971054
  0.09727429  0.03741713 -0.0932318   0.07871389  0.12059698 -0.06694428
  0.2969219   0.00392347  0.03276832  0.29563358  0.02104531 -0.06362779
  0.14059812 -0.24425162  0.03644147 -0.1740189  -0.01420198 -0.04185485
 -0.02255697  0.04836351  0.13181178  0.15907851  0.08970937  0.08689754
 -0.03927607  0.08152495 -0.09615953 -0.00984249]",0.47897461709814904,"['올해', '옥수수', '농사', '내년', '복숭아']"
9,0,친구네 보니까 자기네가 직접 키우는 게 있더라고 우리 그거 한번 구경 가볼까,"[ 0.04121809 -0.13815929  0.12250721  0.24388005 -0.11282787  0.0435077
 -0.01362351 -0.00600895  0.02378208  0.05772993  0.01228733  0.06854005
 -0.05617163 -0.12641528  0.06437843 -0.06486531 -0.00287081 -0.0342603
  0.09110849  0.07558784  0.11025211  0.07085044 -0.0322881  -0.01353423
 -0.10477127 -0.07547883 -0.04224263  0.00943731 -0.11675031 -0.14818126
  0.12477707 -0.06190734  0.1366172  -0.03646898 -0.02507845  0.1063541
 -0.10517055  0.02423506 -0.16686848 -0.02967614 -0.04647795 -0.00706287
  0.05559478  0.03163275 -0.0795611  -0.02332269 -0.00333196  0.11903662
 -0.05839139 -0.05963695  0.14190859  0.01048586  0.0637006   0.06302705
 -0.02940402  0.10149679  0.17731917 -0.06997304 -0.10832204 -0.07966315
  0.08473413 -0.14341515  0.05626719  0.09557685 -0.04150638 -0.09339142
 -0.02021839  0.10413782  0.03246199  0.05079333  0.19290815 -0.17086527
  0.13869146 -0.04486593 -0.05287708  0.12407894  0.05004532 -0.08239861
  0.18995552 -0.05384458 -0.00301258  0.18644644 -0.10665644 -0.0315844
  0.04579084 -0.239579    0.04468746 -0.07780282  0.01205896  0.0665898
 -0.11136212 -0.03555338  0.05000909  0.17833355  0.05920802  0.09282891
 -0.06408443  0.00329571  0.08354404 -0.03240675]",0.4791268540725414,"['친구', '키우', '구경']"
