,cluster,convrs,vec,distance,token
0,9,나는 몸에 대해서 신경을 많이 쓰니까 운동도 열심히 하려고 하는 거지,"[ 0.03659019 -0.07994376  0.05378941 -0.03760255 -0.19335213  0.03356501
 -0.00835003 -0.05902161  0.04245006 -0.02825796  0.05103374  0.06793155
 -0.00398955 -0.09467927 -0.05793675  0.04908306  0.11780397 -0.11641461
  0.16622524 -0.05432368 -0.01323172  0.05738037 -0.11232337 -0.02046912
 -0.04333453  0.06052619 -0.10270987  0.0472144  -0.00540519 -0.09874845
  0.03154856 -0.0382419   0.06594066 -0.00206819  0.04280925  0.02888334
 -0.0543522   0.07459818 -0.1769829  -0.06064853  0.11179976 -0.0277693
 -0.02847824  0.02637989 -0.10996985  0.01674418  0.06333604  0.07027029
  0.03043588  0.01668124  0.06164805  0.03797647  0.02426904  0.03484952
 -0.02250756  0.02244374 -0.00816063  0.04115131 -0.17395416  0.04203916
  0.0581536  -0.15789793 -0.0564087  -0.01346331  0.07238105  0.08701185
 -0.10847171  0.00321273 -0.03011614  0.11295623  0.05173982 -0.1300512
 -0.1256374  -0.03992889  0.03609248  0.18567516  0.10762724 -0.07846721
  0.04085901 -0.0380628   0.05927196 -0.0070695  -0.0550721  -0.1375547
 -0.02481905 -0.06770399 -0.07143507 -0.01627833 -0.08665013 -0.02091601
 -0.0339147   0.06618941  0.0022154  -0.00722458 -0.14788449  0.01144648
  0.01100896 -0.16590317  0.03392071  0.04816133]",0.33713626403224545,"['신경', '운동']"
1,9,운동에 조금 더 신경을 많이 쓰죠,"[ 0.03971108 -0.07747136  0.04940168 -0.04044161 -0.18908982  0.0319519
  0.00186682 -0.06074087  0.04192837 -0.01612219  0.02620521  0.05390299
  0.00414033 -0.08189774 -0.054237    0.02802838  0.09059542 -0.10914957
  0.13293481 -0.04439588  0.00195491  0.04518584 -0.0794524  -0.0078831
 -0.04393834  0.06761945 -0.10170169  0.03111845 -0.00408107 -0.09439483
  0.0389494  -0.04345964  0.06547786 -0.0109955   0.04310406  0.04961495
 -0.07171716  0.08835807 -0.16330859 -0.04425954  0.11855564 -0.0062888
 -0.02416367  0.00655437 -0.11456843  0.02443984  0.04867389  0.05670189
  0.02666946  0.01821916  0.05571617  0.03661484  0.03899674  0.02625865
 -0.02138984  0.01376989  0.00827314  0.03701807 -0.16358058  0.04891496
  0.06611564 -0.1423344  -0.03861944 -0.01533781  0.06541304  0.06237951
 -0.10173803 -0.00667419 -0.02081686  0.09481604  0.03896333 -0.11607872
 -0.10447779 -0.02026515  0.03724156  0.17134374  0.09884801 -0.09294399
  0.04211229 -0.03705657  0.06410275  0.00955606 -0.0570113  -0.12753771
 -0.02210896 -0.060076   -0.08249618 -0.03363604 -0.09495911 -0.03169107
 -0.02114864  0.0625813  -0.00454878 -0.01069648 -0.14006928  0.00746012
  0.01740615 -0.14971451  0.02623631  0.04600599]",0.34174430040650344,"['운동', '신경']"
2,9,그러니까 더 철저히 관리하고 사소한 것들도 다 신경을 써야 한다는 거지,"[ 0.03884839 -0.1411731   0.03266411 -0.06188022 -0.26577964  0.02610276
  0.01746923 -0.1097699   0.0252337   0.05246658  0.03966137  0.06343452
  0.01768915 -0.14804235 -0.05748749  0.0212701   0.14398383 -0.11813483
  0.17364693 -0.03849112 -0.03528608  0.04220308 -0.0964748  -0.05674096
 -0.07452264  0.1377281  -0.14593604  0.03170669  0.01395815 -0.1449079
  0.06700697 -0.07472533  0.12217395 -0.02634071  0.06021673  0.0808724
 -0.06474545  0.10501317 -0.22820505 -0.063666    0.17394543 -0.07936198
 -0.08933536  0.07657059 -0.10674654 -0.00480115  0.054421    0.12289091
 -0.0327868  -0.00898583  0.05741395  0.02364184  0.0211379   0.04201739
 -0.00161424 -0.01037114 -0.01996459  0.03920726 -0.17456457  0.01348677
  0.05073296 -0.1958183  -0.0730574  -0.01038139  0.03145958  0.07797718
 -0.13594274  0.00100741 -0.04729289  0.13229077  0.08713743 -0.16377272
 -0.12706767 -0.02067413  0.06869432  0.20993207  0.15126508 -0.11363252
  0.07126206 -0.04828233  0.03031466 -0.03179217 -0.07753702 -0.14686988
 -0.06997591 -0.09866349 -0.07335696 -0.06840535 -0.12880932 -0.06750164
 -0.08050963  0.05670445 -0.02955503 -0.00561381 -0.17618133 -0.01165819
  0.07043213 -0.21412785  0.05555177  0.03578523]",0.39494073035208643,"['관리', '신경']"
3,9,그리고 다이어트가 그냥 굶어서 되고 식단 조절을 해서 되는 게 아니고,"[ 0.08993326 -0.07482767  0.00932076 -0.05234313 -0.20030558 -0.02209606
 -0.04925923  0.01551646 -0.03248669  0.00473994  0.06057094  0.00766763
  0.04885139 -0.18237263 -0.02823134 -0.01629106  0.11226755 -0.10329313
  0.13052809  0.03198945  0.00600522  0.16781814 -0.09666744  0.02587736
 -0.02208265  0.10259008 -0.07639253  0.03749289  0.00047201 -0.15498444
  0.05479444 -0.10209902  0.1243258  -0.04924833  0.01894605  0.07512096
 -0.0871709   0.11858121 -0.21276274  0.03558322  0.14463449 -0.02109505
 -0.06444366 -0.02838051 -0.09350695 -0.03979205  0.03190842  0.07134169
  0.03865835  0.02358551  0.14096017  0.08818747  0.07288343  0.08586102
  0.01809875  0.06030643  0.02111622  0.00966966 -0.14077555  0.01795599
  0.06313909 -0.21245947  0.0304531   0.04953036  0.1103569   0.09351803
 -0.07734391  0.02937509 -0.04488345  0.11746567  0.05456194 -0.11148411
 -0.04201484  0.02610293 -0.08391629  0.25034133  0.13584282 -0.11440688
  0.01519184 -0.02942107  0.01597048  0.0846378  -0.06081014 -0.09753248
 -0.03695779 -0.02751166 -0.15516025 -0.02389676 -0.08903894  0.00173428
  0.05325473 -0.0261501  -0.01330963 -0.07226063 -0.10145025 -0.00383035
  0.03141402 -0.17495318 -0.05841001  0.09105529]",0.40536060073983543,"['다이어트', '식단', '조절']"
4,9,맞아요 저기 우리 어머니 세대는 먹을 거도 없었죠,"[ 0.04794346 -0.08147556  0.08977746 -0.01413906 -0.1679725   0.04935222
 -0.03221164 -0.09503809 -0.01660311 -0.02582134  0.10860931  0.08541006
 -0.00742557 -0.13567762 -0.01464687  0.0458331   0.1374907  -0.11221652
  0.19122185 -0.03780487 -0.01048017  0.11585569 -0.10739145 -0.03435731
 -0.04507476  0.09537181 -0.08250724 -0.02420498  0.04651831 -0.19892715
  0.06062767 -0.0582651   0.13688825 -0.02528236  0.01966798  0.10527647
 -0.09835218  0.0618131  -0.21672656 -0.00880463  0.18760918 -0.15409918
 -0.08971316 -0.00465841 -0.10696879  0.02948357  0.05310696  0.09853651
  0.00885106 -0.02195447  0.12135389  0.07022948  0.00332339  0.07737772
  0.03107128  0.02620176 -0.03032671  0.00035105 -0.15854205  0.00286838
  0.07838905 -0.1583606  -0.04621583  0.00833065  0.1254039   0.12195107
 -0.19062111 -0.0637444   0.0027311   0.11219204  0.09138409 -0.14328465
 -0.11975645 -0.05357087  0.00933972  0.27597052  0.13953862 -0.02424408
  0.07343662 -0.11881677  0.03513797 -0.02394303 -0.11216432 -0.17900354
 -0.07511912 -0.08967485 -0.041841   -0.06771623 -0.05448617 -0.06235717
 -0.03924597  0.02190863 -0.02900611 -0.02223659 -0.12067851  0.0020762
  0.05319268 -0.1868004   0.07429955  0.09650416]",0.405525927852951,"['어머니', '세대']"
5,9,집에서 많이 해 주는 음식 좋아했고요,"[ 0.0835475  -0.11690478  0.02936529  0.02677347 -0.16280802 -0.00329306
 -0.03714191 -0.02444387 -0.03809871 -0.0015715   0.11201669  0.03171538
  0.00934863 -0.18681866 -0.01039391  0.02838232  0.09220383 -0.1017053
  0.12976302 -0.00787796  0.02127115  0.20506917 -0.08266673 -0.01698534
 -0.05256671  0.06094957 -0.07324812 -0.00582304  0.02638803 -0.14885618
  0.04014836 -0.07790057  0.11145637 -0.05849829 -0.03421757  0.0407605
 -0.08920606  0.0905331  -0.12636566 -0.02167592  0.17560494 -0.09156165
 -0.04871918 -0.02657921 -0.03535379  0.00526915  0.09401873  0.06239429
  0.01981616 -0.00541809  0.11360671  0.05834384  0.03466686  0.0416947
 -0.00147621  0.02926099  0.02075842 -0.01243635 -0.1024895  -0.00971448
  0.03496487 -0.13579825 -0.03303834  0.07451795  0.07321732  0.08940667
 -0.12584847  0.01127984  0.00893975  0.10649737  0.10698327 -0.11925808
 -0.03700546 -0.02994302 -0.03121974  0.26474845  0.10916044 -0.02602369
  0.04629692 -0.06465603 -0.03537134  0.06641998 -0.12343629 -0.15285285
 -0.04498282 -0.07147344 -0.0586921  -0.04845265 -0.08079482 -0.00364748
 -0.01046904 -0.06730796 -0.00429882 -0.03200197 -0.0916217  -0.07973168
  0.07544728 -0.16737863 -0.00170914  0.10927328]",0.4092205784815771,['음식']
6,9,그런 음식을 먹고 그러면 나는 물을 상당히 많이 먹게 되더라고,"[ 0.08730125 -0.08412554  0.04442943  0.04253869 -0.15335177 -0.00942911
 -0.03936375 -0.04573566 -0.02639323  0.00293247  0.06389087  0.03202216
  0.00263311 -0.17321315 -0.00957125  0.03756624  0.0710111  -0.07765702
  0.10638666 -0.02486127  0.0309593   0.2005112  -0.09150381  0.0138201
 -0.0605946   0.06551079 -0.05684157 -0.01123197  0.00797836 -0.10675446
  0.04314353 -0.12077808  0.10942782 -0.06333555 -0.04233814  0.0413439
 -0.11817253  0.07812285 -0.12412826 -0.00508845  0.18494701 -0.05690221
 -0.05352063 -0.06307198 -0.01092142  0.02669366  0.07747273  0.02001798
  0.05020068 -0.0145801   0.12540229  0.08499639  0.05808894  0.03615471
 -0.01333212  0.05421253  0.03672162 -0.01540494 -0.10904404  0.00625309
  0.0218199  -0.13339272 -0.01827884  0.08851235  0.10042929  0.08275103
 -0.14952387 -0.01936269  0.00904322  0.08472484  0.10801082 -0.06560703
 -0.04019122 -0.04285535 -0.02013821  0.24694905  0.10522535 -0.0353066
  0.0337321  -0.05072211 -0.05919034  0.08019058 -0.1294917  -0.150258
 -0.03141449 -0.09188329 -0.06921219 -0.03994624 -0.08308119 -0.02310487
  0.01664051 -0.09761287  0.01351666  0.00537245 -0.09420162 -0.10771599
  0.06935491 -0.157482   -0.01371163  0.09649438]",0.4117122519224,"['음식', '그러']"
7,9,우리가 밤에 음식이 이 몸속에 있을 때 수면에,"[ 0.08697457 -0.05692336  0.12119811 -0.01828168 -0.15145484 -0.05407073
 -0.04247985 -0.00068745  0.01048657 -0.02415627  0.04191796  0.07633965
 -0.0075083  -0.2647621  -0.04118115  0.06612783  0.07283603 -0.11196645
  0.17807077 -0.04420062  0.0282678   0.23102748 -0.14268856 -0.01778573
 -0.0572499   0.09085105 -0.04591186  0.03463266 -0.03029657 -0.13493614
  0.05795951 -0.121853    0.17072618 -0.03591794 -0.02829038  0.02593532
 -0.12136478  0.1045117  -0.12317285  0.01299258  0.17821865 -0.09421528
 -0.05199713 -0.04916633 -0.02429253 -0.02605268  0.03029358  0.061795
  0.05344325  0.03341682  0.0933366   0.1253862   0.05136416  0.05329088
 -0.01268796  0.1180663   0.04998178  0.00409089 -0.12706223 -0.01335513
  0.05685013 -0.16578081  0.03615065  0.07428013  0.05160357  0.10416532
 -0.0950498  -0.08576371 -0.04462917  0.07450176  0.08125665 -0.05614409
 -0.03636756 -0.03359511 -0.00938472  0.26885477  0.14779861 -0.00329799
  0.04475261 -0.07719064 -0.06344961  0.05897714 -0.17772977 -0.17364798
 -0.02978451 -0.12917632 -0.10084105 -0.04960874 -0.07946735 -0.00976945
  0.04392898 -0.04962468  0.02620417 -0.00600751 -0.12673375 -0.10776092
  0.08750219 -0.19958872 -0.02698543  0.1066012 ]",0.4208825680168948,"['음식', '수면']"
8,9,체중이 조금씩 조금씩 또 올라가는 것 같으니까 더 찔까 봐 두려운 거야,"[ 0.07750434 -0.1791281  -0.01989167 -0.07171386 -0.2895608  -0.04303931
 -0.0334755  -0.05609323 -0.01364833  0.02408637 -0.08220306  0.02150492
  0.05186741 -0.10777711 -0.01774867 -0.05356422  0.12289485 -0.09029403
  0.07892575 -0.01525685 -0.01286212  0.07002817 -0.03986466 -0.00572935
 -0.10381599  0.15179154 -0.09888154  0.02602736  0.00957407 -0.12703443
  0.09523524 -0.11706491  0.08477417 -0.08470888  0.01901022  0.06349222
 -0.107732    0.13418034 -0.15969478 -0.03969961  0.11946919  0.04885376
 -0.0626101   0.02076466 -0.08860712 -0.08858734  0.04781782  0.06648666
 -0.00273729  0.03903287  0.09479404  0.01792367  0.07949722  0.0275523
  0.00526914  0.02743113 -0.01452468  0.00119025 -0.14036588  0.01803244
  0.05796355 -0.1997304   0.01971467  0.02065612  0.09609775  0.022035
 -0.08885352 -0.04049202 -0.02133778  0.10682807  0.048101   -0.10489906
 -0.078625    0.03610528 -0.01374469  0.22135594  0.135171   -0.18691084
  0.06431668 -0.06107516  0.05629153 -0.02884122 -0.09395061 -0.07502662
 -0.05861634 -0.09170106 -0.15048724 -0.09993287 -0.16951801  0.01443482
  0.05184296  0.03463672  0.04991875  0.00039022 -0.21182811 -0.02623382
  0.06319891 -0.18840045 -0.04663002  0.03597456]",0.4223386278128012,"['체중', '올라가']"
9,9,우리 세대에서는 우리 앞의 세대들은 솔직히 일도 많이 하잖아요,"[ 0.04036472 -0.11930761  0.05815164  0.01737233 -0.21540946  0.01964591
 -0.00329262 -0.10266067 -0.00876815  0.00439763  0.10863092  0.0760848
 -0.01700169 -0.1334799  -0.03066131  0.02839288  0.1235105  -0.10825399
  0.15766174 -0.03624053  0.01137917  0.11925244 -0.07903227 -0.05772161
 -0.0869305   0.09307044 -0.10304932 -0.03005513  0.05195399 -0.19658211
  0.07399593 -0.06267009  0.1391366  -0.03577343  0.00744428  0.08967134
 -0.10359163  0.0568057  -0.19996761 -0.02139231  0.20214765 -0.14049275
 -0.10190455 -0.00085588 -0.08625673  0.02229448  0.07649264  0.11042047
 -0.03533142 -0.01491335  0.1267791   0.04066635  0.00338961  0.05915804
  0.01757642 -0.00475211 -0.01136555 -0.01008507 -0.13648292 -0.00694204
  0.04846873 -0.16398516 -0.06854375  0.02508337  0.09416953  0.11811066
 -0.16931266 -0.05902498 -0.00095843  0.12585977  0.11209236 -0.13678855
 -0.10301675 -0.06582511  0.01716752  0.29140124  0.12936251 -0.03228093
  0.07671703 -0.10732292  0.00261945 -0.02123646 -0.12605332 -0.165838
 -0.08263644 -0.08962343 -0.03437338 -0.09677373 -0.06460803 -0.06496621
 -0.0463093   0.00148089 -0.03629136 -0.00229758 -0.11778776 -0.0066688
  0.06834148 -0.19022276  0.08089124  0.08602375]",0.42318786131879177,"['세대', '세대']"
