,cluster,convrs,vec,distance,token
206,1,아이들에게 봐도 된다고 해야 하는지 보지 말라고 해야 하는지 헷갈리긴 해요,"[-0.02156136 -0.03809274 -0.08634263  0.01492685 -0.04472074 -0.02053821
 -0.08283897  0.08997088 -0.04412659  0.05809091 -0.03697769 -0.00847005
 -0.0162975   0.06252345  0.08376239 -0.12261984  0.00971921  0.05136643
 -0.06498639  0.02663509  0.03202853 -0.00915688 -0.0548889  -0.05334781
 -0.00540357  0.00038625 -0.04041284  0.00265324  0.03976306 -0.01019062
 -0.04283248  0.0287335   0.00544138  0.0602043  -0.01992643  0.02458826
  0.03444022 -0.01367487 -0.03333918  0.07251105 -0.00367395 -0.01405299
 -0.01257285 -0.02417669  0.04052495 -0.02888673  0.04793431 -0.02818197
 -0.05429342 -0.02500233  0.05405724  0.05963847  0.07539906  0.02324433
  0.01050315 -0.02984397  0.02051931  0.02398539 -0.00481051  0.01709701
 -0.08120853  0.07075733 -0.05065352 -0.08860131 -0.00688021 -0.0580206
 -0.00272789  0.06663316  0.02264224 -0.0122603   0.03663482 -0.01222987
  0.10875576 -0.00663521  0.03476406 -0.01118513 -0.00412556  0.00147503
  0.03932293 -0.00518045 -0.00653075 -0.04173864  0.00085528  0.04860372
  0.00730748  0.01261196 -0.06843318 -0.05055098  0.03425828  0.0309205
  0.10934281 -0.02586799  0.03385924  0.00694558  0.07619282  0.09853458
  0.01994901 -0.02022192 -0.01710856 -0.19485758]",0.03781233536206765,['아이']
207,1,그게 참 제일 재밌어서 보고 또 보고 계속 그랬던 거 같아,"[-0.02511259 -0.04679867 -0.08811463  0.01136152 -0.03854499 -0.02747746
 -0.08180118  0.09569127 -0.04038682  0.05626557 -0.03827611 -0.00093059
 -0.01093246  0.06043624  0.08010732 -0.12602383  0.01231785  0.05688375
 -0.06768034  0.02853349  0.03707827 -0.00788071 -0.05229508 -0.06640193
 -0.00138987  0.0028559  -0.0400399   0.00434998  0.04482102 -0.01193347
 -0.04357633  0.02610697  0.00641794  0.06204174 -0.02766582  0.02621956
  0.03619218 -0.01521411 -0.02898964  0.07391571 -0.00241378 -0.01066027
 -0.01593871 -0.02625703  0.03679192 -0.0194567   0.04990922 -0.0336004
 -0.05979377 -0.02471931  0.06021766  0.06067542  0.08146738  0.02261799
  0.00641122 -0.02743495  0.01905732  0.0244823  -0.006053    0.02283609
 -0.0765053   0.07023859 -0.05365604 -0.09187505 -0.01509533 -0.06794908
 -0.00289277  0.07149258  0.02826899 -0.00845739  0.04475331 -0.00799076
  0.11438324 -0.0037511   0.03818421 -0.00585496 -0.00292565  0.00291783
  0.03689967 -0.01073939 -0.00987118 -0.0360695   0.00834404  0.0435555
  0.01058121  0.01332146 -0.06488617 -0.05116041  0.04192941  0.02474445
  0.11082475 -0.02752723  0.02813849  0.00496511  0.07264657  0.09995857
  0.02290962 -0.02241763 -0.00739393 -0.19706874]",0.03866378307213659,['재밌']
208,1,그 만화는 그렇게 해서 골랐던 거라 그런지 더 기억에 남지도 않아,"[-2.33042669e-02 -4.57930379e-02 -7.91030675e-02  2.21354589e-02
 -4.73752059e-02 -2.04564165e-02 -8.36769417e-02  8.85908753e-02
 -4.29794788e-02  6.04117401e-02 -3.09722889e-02 -5.09717455e-03
 -7.89341237e-03  6.46077767e-02  8.31408575e-02 -1.26401410e-01
  1.04190474e-02  4.63145114e-02 -6.51252344e-02  2.99963877e-02
  3.79076265e-02 -1.18015250e-02 -5.39885685e-02 -6.51155934e-02
 -2.95080477e-03  7.73791550e-03 -4.81400155e-02  1.71593070e-04
  3.47226560e-02 -1.00661190e-02 -4.31995168e-02  2.42608003e-02
  4.92343120e-03  6.49670810e-02 -2.73957178e-02  3.39542404e-02
  3.95459719e-02 -1.27775269e-02 -3.29916216e-02  7.16349408e-02
  4.45138803e-03 -7.60760438e-03 -2.27322653e-02 -2.79926565e-02
  4.47879955e-02 -2.71538273e-02  4.81419303e-02 -3.78088914e-02
 -6.10241070e-02 -2.05496475e-02  5.53139374e-02  5.44065833e-02
  8.04246292e-02  1.88610759e-02  3.95484222e-03 -3.70836705e-02
  2.41183508e-02  2.62839645e-02 -1.01346150e-02  2.80196574e-02
 -8.25146437e-02  7.47577772e-02 -5.01158945e-02 -8.85660052e-02
 -1.65352281e-02 -6.85490742e-02  5.72102796e-03  7.24584311e-02
  2.66400166e-02 -9.52247996e-03  3.96847688e-02 -1.46547817e-02
  1.13579661e-01 -9.42222401e-03  3.88137698e-02 -3.74028762e-03
 -3.78395640e-03  1.04574580e-03  4.53158356e-02 -8.89629405e-03
 -2.67755287e-03 -4.43627127e-02  3.37486132e-03  4.38306965e-02
  7.24362954e-03  1.11050839e-02 -7.07539469e-02 -5.20760044e-02
  3.95129547e-02  2.99435835e-02  1.13810785e-01 -3.27715203e-02
  2.28901803e-02  1.07476907e-02  7.29771256e-02  1.03822425e-01
  2.48265266e-02 -2.42476072e-02 -2.17153858e-02 -2.01812685e-01]",0.040305204731492385,"['만화', '기억']"
209,1,그래서 그거를 사람들이 막 줄 서서 그려달라고 했던 기억이 나,"[-0.02741871 -0.04779087 -0.08481231  0.01592976 -0.04402472 -0.026438
 -0.08823775  0.09502906 -0.04421688  0.06250948 -0.03995147 -0.00490421
 -0.00921407  0.06310983  0.08479614 -0.12739007  0.01413295  0.04981177
 -0.0610338   0.03267953  0.03684186 -0.01440182 -0.06019521 -0.06385828
 -0.00099319  0.00220216 -0.04102999  0.0068302   0.04338036 -0.01168724
 -0.03946754  0.02063884  0.00403239  0.05969648 -0.02123802  0.02945548
  0.03216284 -0.01147027 -0.04074782  0.0661848   0.00157304 -0.0113963
 -0.02364956 -0.03061217  0.03988609 -0.0332521   0.04815368 -0.04097673
 -0.06003734 -0.01842698  0.0638878   0.05489383  0.08639982  0.01880401
  0.00878829 -0.03255385  0.02269774  0.0342462  -0.00843236  0.02196334
 -0.07764415  0.07334419 -0.0592746  -0.08989524 -0.01221736 -0.05994133
  0.00535038  0.06997275  0.03537124 -0.01020655  0.03797823 -0.0122786
  0.12031087 -0.00742025  0.0428602  -0.01110505 -0.00055447 -0.00081059
  0.042944   -0.01063303 -0.01135055 -0.03718224  0.00892707  0.05152986
  0.00811544  0.01148368 -0.07105497 -0.05671296  0.04233824  0.02674104
  0.1130103  -0.03414385  0.03189856  0.00716669  0.07836741  0.10400635
  0.03209578 -0.01707685 -0.01824775 -0.21457802]",0.04361926022846895,"['사람', '기억']"
210,1,그 만화는 그렇게 해서 골랐던 거라 그렇지 더 기억에 남지도 않아,"[-0.02843071 -0.04868313 -0.0832224   0.01484539 -0.03840176 -0.0260487
 -0.08789337  0.09728354 -0.04753992  0.05583996 -0.03452954 -0.00313867
 -0.00839356  0.06643125  0.09004258 -0.12306013  0.01673501  0.05064743
 -0.06297366  0.03452546  0.04424905 -0.01375945 -0.05791599 -0.05965262
 -0.00833643 -0.00127838 -0.04049738  0.00676185  0.0405285  -0.01519346
 -0.03782511  0.03495516  0.00980384  0.05994041 -0.02489548  0.03333827
  0.03986431 -0.01375045 -0.03785587  0.0646036  -0.00432972 -0.00776371
 -0.02132572 -0.03875422  0.04150792 -0.01870535  0.05441835 -0.03924409
 -0.05399171 -0.02530475  0.0560608   0.05589347  0.07700609  0.02217479
  0.01526442 -0.03721466  0.0168823   0.03140142 -0.00871147  0.0289688
 -0.07847011  0.07319424 -0.05757225 -0.08868518 -0.00988164 -0.06400672
  0.00950311  0.06782012  0.02959636 -0.00556465  0.04693805 -0.00616291
  0.10706898 -0.01063792  0.04256763 -0.00747135 -0.00735668  0.00068535
  0.03698005 -0.00617862 -0.00292036 -0.048429    0.00931723  0.04928924
  0.00427622  0.0047664  -0.06796137 -0.05000035  0.04495423  0.0216637
  0.10735627 -0.03122197  0.02274963  0.00626868  0.0723024   0.1021471
  0.02835461 -0.02170675 -0.01354265 -0.20552537]",0.04601303796510235,"['만화', '그렇', '기억']"
211,1,그런데 이 작가들이 그거를 너무 오랫동안 안 써주고 그랬었지,"[-0.02683293 -0.04196548 -0.07975563  0.02059583 -0.04559728 -0.02175064
 -0.08583637  0.0998201  -0.04835806  0.05094596 -0.03716778 -0.00098829
 -0.00781766  0.06573014  0.08215072 -0.12846972  0.01869466  0.05349408
 -0.06169184  0.03861088  0.03699481 -0.01098683 -0.05883221 -0.05528162
 -0.00531527 -0.00307666 -0.04689643  0.00732442  0.03013812 -0.00717872
 -0.04594212  0.032181    0.01329865  0.06252503 -0.01960035  0.02937692
  0.04667176 -0.00809317 -0.04181552  0.06500707  0.002674   -0.00397667
 -0.01647397 -0.02816431  0.04219417 -0.02225215  0.04712232 -0.03958367
 -0.06290734 -0.02280205  0.06025013  0.05358434  0.07814481  0.02783074
  0.01016049 -0.02877583  0.02447842  0.03215921 -0.00393098  0.02190346
 -0.06977686  0.06888837 -0.05214921 -0.08335561 -0.00746031 -0.07087467
  0.00787066  0.07827611  0.02572411 -0.01218375  0.04027734 -0.01418366
  0.10570322 -0.01007264  0.03335175 -0.01202652 -0.00772889 -0.00860277
  0.03758922 -0.01432549 -0.00352977 -0.03758341  0.00066572  0.04624372
  0.00835125  0.00994984 -0.06605484 -0.05139011  0.04276806  0.02267476
  0.10181244 -0.02744521  0.02425162  0.00925861  0.08074719  0.08852638
  0.02159229 -0.02379029 -0.01441885 -0.20162319]",0.04787515608179252,['작가']
212,1,어떤 거는 뭐 되게 싫은 캐릭터라도 계속 그것만 나오니까 어쩔 수 없지,"[-3.31021585e-02 -5.11901714e-02 -8.50388855e-02  9.72043537e-03
 -4.63487469e-02 -2.12337151e-02 -9.55349505e-02  9.40758884e-02
 -5.11146486e-02  6.55304268e-02 -4.19875905e-02 -7.27181463e-03
 -8.73258989e-03  7.07595199e-02  8.95915106e-02 -1.30146444e-01
  1.45772202e-02  5.10840788e-02 -7.62424096e-02  3.11866477e-02
  3.26996259e-02 -5.44929877e-03 -6.75386935e-02 -6.01390041e-02
 -1.17153674e-03 -3.25980550e-03 -4.97020669e-02 -9.59981524e-04
  3.94382887e-02 -9.32845101e-03 -3.79061103e-02  2.57125925e-02
  4.67980187e-03  6.63366765e-02 -1.78663507e-02  3.13503072e-02
  3.37652005e-02 -1.63057782e-02 -3.84309925e-02  6.88674375e-02
  4.32706019e-03 -4.00626147e-03 -1.96530763e-02 -3.77981700e-02
  3.60073186e-02 -2.12057885e-02  4.63094413e-02 -4.30489033e-02
 -5.90085573e-02 -2.42397189e-02  5.44302613e-02  5.96676692e-02
  8.77970010e-02  2.84834206e-02  1.20672174e-02 -3.54125723e-02
  1.73673313e-02  3.55651192e-02  1.96635883e-04  2.21725293e-02
 -7.91797042e-02  6.68586120e-02 -5.52396923e-02 -1.00676894e-01
 -5.19843167e-03 -6.61960915e-02  6.26994879e-04  8.05415437e-02
  2.77986806e-02 -6.84509380e-03  4.46516499e-02 -1.83683075e-02
  1.21616013e-01 -7.34679587e-03  3.08490619e-02 -1.16041731e-02
 -7.78969517e-03 -4.35418449e-03  4.22874466e-02 -9.73835308e-03
 -3.95338377e-03 -3.78130861e-02  8.73528700e-03  4.61833887e-02
  5.27839363e-03  5.61820436e-03 -7.85901248e-02 -5.88080473e-02
  4.30755354e-02  2.70875562e-02  1.14266641e-01 -2.90639084e-02
  2.78346669e-02  5.95640251e-03  8.17889050e-02  1.08353212e-01
  2.22669784e-02 -1.62210669e-02 -1.34690637e-02 -2.12886259e-01]",0.04843656712931563,"['캐릭터', '나오']"
213,1,가서 재밌게 만화도 볼 수 있으니 아이들과 함께 가서 책을 보면 좋겠어요,"[-0.0299311  -0.04158497 -0.08385419  0.01937065 -0.04225866 -0.02116631
 -0.08535265  0.0884712  -0.03711396  0.05642481 -0.03542069 -0.01034171
 -0.00902654  0.05913886  0.07767738 -0.11466808  0.01357121  0.05320772
 -0.06306261  0.03075455  0.02814713 -0.01078818 -0.05294184 -0.05344667
  0.00113487  0.00774493 -0.03884434 -0.00371125  0.04599898 -0.00952047
 -0.03943844  0.02416918  0.00574158  0.05647793 -0.02631565  0.02725566
  0.03492855 -0.01806522 -0.0300289   0.0736386   0.00195291 -0.01051911
 -0.01514262 -0.0258125   0.03385758 -0.02806097  0.05607852 -0.03519476
 -0.06008487 -0.01917706  0.05752854  0.06032001  0.07837016  0.0170723
  0.00525897 -0.03388185  0.02799763  0.02750899  0.00079168  0.01409517
 -0.07309547  0.06071657 -0.05142301 -0.08277448 -0.00374203 -0.06187991
 -0.00407909  0.07121149  0.03066005 -0.0051242   0.03596172 -0.01141402
  0.11010251 -0.00404311  0.0378869  -0.00903923 -0.00434081  0.00304119
  0.03686047 -0.00284705 -0.00728557 -0.04266087  0.00446111  0.04308744
  0.00544575  0.00739816 -0.06660578 -0.04711041  0.02938632  0.03369419
  0.10288428 -0.02474487  0.03124399  0.01140613  0.07186066  0.09449234
  0.02252725 -0.01637365 -0.00501906 -0.188066  ]",0.04932713846857785,"['재밌', '만화', '아이']"
214,1,그리고 웹툰이라는 걸 이렇게 사람들이 하는 걸 보니까 나름대로 괜찮은 것 같더라,"[-3.09129171e-02 -4.50838767e-02 -8.23943391e-02  1.66325253e-02
 -5.36172427e-02 -2.85416450e-02 -8.89994949e-02  9.75987688e-02
 -4.11671773e-02  5.41556589e-02 -4.22858708e-02 -4.95841494e-03
 -2.07949001e-02  7.02282041e-02  8.26176777e-02 -1.37080073e-01
  1.76216867e-02  5.53735085e-02 -7.06122741e-02  2.14140788e-02
  3.25154178e-02 -1.33087756e-02 -6.32309243e-02 -5.32997660e-02
  6.15277980e-03 -3.21012479e-03 -5.29824831e-02 -4.04209604e-05
  3.45070697e-02 -1.30381016e-02 -4.60593551e-02  2.30576769e-02
  6.12003356e-03  5.42761348e-02 -2.05311179e-02  3.63455340e-02
  4.00272757e-02 -1.88584719e-02 -3.76073606e-02  6.34130239e-02
 -4.99911187e-03 -7.20207952e-03 -1.55191459e-02 -2.43670922e-02
  2.98884735e-02 -3.07729635e-02  4.59150635e-02 -2.83263549e-02
 -5.11422679e-02 -2.76763476e-02  6.17493205e-02  5.41827902e-02
  8.65329579e-02  2.03554649e-02  1.21257883e-02 -4.48957793e-02
  2.05367822e-02  2.71378234e-02 -5.25179552e-03  1.67135186e-02
 -7.32999519e-02  6.79871961e-02 -5.52575290e-02 -9.21479613e-02
 -1.16108386e-02 -5.22423498e-02  2.00629653e-03  7.86390230e-02
  2.86383983e-02 -9.35896207e-03  3.54985371e-02 -1.07949087e-02
  1.05622865e-01 -5.68740885e-04  3.61505188e-02 -7.97442906e-03
 -5.45084069e-04  2.78540794e-03  3.80848311e-02 -7.89712649e-03
 -1.36479512e-02 -3.21698375e-02  7.55853532e-03  4.63821292e-02
  7.02489773e-03  1.09024895e-02 -7.16818199e-02 -4.47392501e-02
  3.83428484e-02  2.75263209e-02  1.13437854e-01 -2.34250240e-02
  2.95212232e-02  8.87308270e-03  7.48207942e-02  9.84533578e-02
  3.23534980e-02 -2.12972388e-02 -8.23694840e-03 -2.03437328e-01]",0.05067238441141071,"['웹툰', '사람', '괜찮']"
215,1,요즘에도 그런 만화방이 있다는 것을 저는 전혀 몰랐는데,"[-0.02060315 -0.04076674 -0.08802465  0.01036051 -0.04227947 -0.01033084
 -0.08097371  0.08583964 -0.04282752  0.05072109 -0.03682753 -0.00788677
 -0.01688897  0.05856203  0.08517833 -0.11567692  0.00508329  0.04296877
 -0.07019126  0.02492109  0.04278743 -0.0020307  -0.05123095 -0.05735025
 -0.00466162  0.00507493 -0.04436198  0.00521385  0.03117209 -0.0142853
 -0.04248804  0.02501819  0.00458086  0.05304119 -0.01849989  0.02663477
  0.04032687 -0.02071369 -0.03430466  0.07157344  0.00903173 -0.01362563
 -0.01740896 -0.02402479  0.03959938 -0.01890964  0.04584241 -0.02747687
 -0.05723038 -0.02158649  0.06189269  0.05608887  0.07807438  0.02673017
  0.01284701 -0.03591265  0.01316101  0.02168911 -0.0036467   0.0185842
 -0.07833974  0.06904772 -0.05822521 -0.08709044 -0.00666876 -0.0633966
  0.00643355  0.06911802  0.02496811 -0.01121307  0.03986819 -0.00663495
  0.09534359 -0.00115208  0.02646029 -0.0173374  -0.00170756  0.0023545
  0.03562366 -0.01211056 -0.00088514 -0.0418425   0.01200629  0.04328467
  0.01362233  0.01488856 -0.06429942 -0.04735151  0.04269357  0.02682968
  0.1057819  -0.02499496  0.02704386  0.00813061  0.0735335   0.08515257
  0.02611206 -0.02598716 -0.01602505 -0.18681052]",0.05482419857195457,"['요즘', '만화방']"
