,cluster,convrs,vec,distance,token
0,0,아 그리고 낙안읍성 자연 휴양림도 있어  가까운 곳이야,"[-0.04045793  0.05458463 -0.09689738 -0.03691788  0.06739928 -0.02788719
 -0.05734556  0.0613295  -0.00651422 -0.03362073  0.03908029  0.18881966
 -0.11305653  0.10462479  0.15906751  0.01842097 -0.18977644  0.02859045
 -0.0645673  -0.02118769 -0.17942078 -0.05943144  0.12848657  0.12985717
  0.20761181 -0.16276616  0.12177464 -0.12085007  0.07227299  0.01833922
 -0.06400105  0.11421251 -0.13537507 -0.03946234  0.14369789  0.13862935
  0.18778189 -0.00441226 -0.06366689 -0.14388222  0.01940329  0.06636643
  0.00201723  0.01612829  0.01056653 -0.05155088  0.13138267  0.02797351
 -0.09090832 -0.10999397  0.08659124  0.18203    -0.06261016 -0.1158495
  0.11616869  0.04380083  0.11790621  0.00059117  0.23473904  0.14260556
 -0.22713788 -0.00989348 -0.10706847  0.02729204 -0.01947188  0.00118801
  0.1883694  -0.1686446  -0.09722568 -0.01411774  0.11135763 -0.13807371
 -0.11973274  0.01441116  0.05269073  0.21011336 -0.04763734  0.02532263
 -0.09486378 -0.00094494 -0.02922083 -0.07649706  0.01935573 -0.19091968
 -0.00074279 -0.13443537  0.01685389 -0.03642335 -0.04908866  0.16810715
 -0.06436476 -0.099179    0.0866359  -0.13122532 -0.01345498 -0.05577657
 -0.04477269  0.01147824 -0.01917796  0.10855315]",0.3088006377747567,"['낙안', '읍성', '자연', '휴양림']"
1,0,네이버에서 찾아해보니까 안동 호반 자연 휴양림이라고 그게 있어서 찾아봤어요,"[-3.54831927e-02  9.15651470e-02 -6.26035631e-02 -5.09223118e-02
  5.62759936e-02 -4.09104228e-02 -1.77396592e-02  7.52884969e-02
 -8.58531073e-02 -4.83943298e-02  8.67234766e-02  1.97636425e-01
 -1.26886636e-01  5.24349958e-02  1.72150925e-01  2.75852792e-02
 -1.85261384e-01  8.92691836e-02 -2.97219232e-02  5.46772545e-03
 -2.49380544e-01 -4.93344478e-02  1.57375470e-01  1.27684891e-01
  2.08283186e-01 -2.06781462e-01  1.80667862e-01 -1.46819487e-01
  9.25028995e-02  2.98298560e-02 -2.70421654e-02  1.48803428e-01
 -1.20119877e-01 -2.31281854e-02  1.32986441e-01  1.65572181e-01
  2.08652899e-01 -5.73250465e-03 -4.59990324e-03 -1.93989068e-01
  3.42994332e-02  8.76081139e-02  3.24649923e-02  6.59254892e-03
 -9.56959964e-04 -4.37333994e-02  1.46417022e-01 -2.93118358e-02
 -8.99093300e-02 -1.27886280e-01  1.23665258e-01  1.89956278e-01
 -8.22863430e-02 -1.35649115e-01  1.46535411e-01  5.65540930e-03
  1.68859363e-01 -1.53039058e-03  2.90395975e-01  1.46676794e-01
 -2.11926743e-01 -3.56837697e-02 -1.32777616e-01  2.84851398e-02
 -9.52905715e-02 -2.57748435e-03  2.29740039e-01 -1.11281827e-01
 -4.09462936e-02 -6.07842952e-02  7.51509070e-02 -1.03472255e-01
 -1.56808257e-01  3.33511084e-02  9.44356099e-02  2.71674573e-01
 -7.57600069e-02 -1.68029001e-04 -9.53489915e-02 -4.26494852e-02
 -6.46654740e-02 -9.74720493e-02  5.31631410e-02 -1.45351902e-01
 -2.47833668e-03 -1.64805651e-01  3.31994146e-02 -2.36215647e-02
 -7.27162659e-02  2.45056912e-01 -6.44418374e-02 -1.12803377e-01
  8.81864130e-02 -1.58876032e-01  9.09315050e-03 -2.61650328e-02
 -3.58979404e-02  4.69636507e-02  3.12829833e-03  1.04179710e-01]",0.3519873891658535,"['네이버', '안동', '호반', '자연', '휴양림']"
2,0,아 그리고  자연 휴양림도 있어 벌교에서 가까운 곳이야,"[-0.04107222  0.07453114 -0.09467751 -0.02799121  0.11617066 -0.0277995
 -0.04383337  0.01060279 -0.02912138 -0.01854115  0.08441477  0.20483167
 -0.14468916  0.10838455  0.18301097  0.04662104 -0.1959092   0.07070807
 -0.07890796 -0.0185868  -0.20566048 -0.1006452   0.17319557  0.16059905
  0.22532545 -0.17384386  0.14140537 -0.13506207  0.11023285  0.05187267
 -0.05521461  0.15590446 -0.16203564 -0.02968055  0.15906638  0.15281673
  0.25250944  0.00696657 -0.012224   -0.18737577 -0.00119444  0.0916191
  0.02389738  0.05052198  0.01610301 -0.01797839  0.1647374   0.00331193
 -0.10076689 -0.11508729  0.1116683   0.20359783 -0.07243268 -0.13295369
  0.1915118   0.06155984  0.16456582 -0.00581326  0.29568353  0.16260779
 -0.26989186 -0.01054319 -0.13665566  0.0285331  -0.05986991 -0.03362887
  0.19678766 -0.21020819 -0.09344237 -0.06857701  0.13954718 -0.14448148
 -0.18040666  0.048108    0.05719499  0.24538803 -0.08076568 -0.01606051
 -0.14421175  0.00186176 -0.04810237 -0.07910225  0.03295612 -0.20300676
 -0.02115921 -0.16218503 -0.01895229 -0.0348786  -0.11128792  0.19366314
 -0.06060833 -0.15110458  0.0830497  -0.14919414 -0.04168672 -0.05009162
 -0.05390492  0.05318229 -0.01559733  0.09709264]",0.38232519939260495,"['자연', '휴양림', '벌교']"
3,0, 찾아해보니까 안동 호반 자연휴양림이라고 그게 있어서 찾아봤어요,"[-0.03394188  0.09086907 -0.06245621 -0.05592147  0.03010137 -0.03256774
 -0.00755245  0.02906924 -0.05554295 -0.01882988  0.04542228  0.18252961
 -0.10279921  0.09329207  0.16889976  0.03083805 -0.1995813   0.06426944
 -0.06190759 -0.00873045 -0.17451027 -0.03554909  0.16996777  0.11507206
  0.20407788 -0.18897825  0.15633842 -0.10476131  0.07362231  0.02861289
  0.00125509  0.09004659 -0.12106706 -0.03079599  0.1253784   0.14773564
  0.16868833 -0.011863   -0.02830551 -0.16264163  0.01866511  0.07005863
 -0.00698364  0.00988953 -0.00781732 -0.0357808   0.11009983  0.00099692
 -0.04463927 -0.12051895  0.0942677   0.14537194 -0.06876566 -0.12559193
  0.14926149  0.02585221  0.13633631  0.00101395  0.24206607  0.12603004
 -0.22241321 -0.03376509 -0.08907078 -0.00352872 -0.04906503  0.02741135
  0.20538457 -0.1467141  -0.05908203 -0.03913104  0.10524485 -0.13104029
 -0.13580805  0.02062729  0.05646533  0.23670155 -0.02711984  0.01462298
 -0.08251773 -0.03955629 -0.04416385 -0.09353865  0.05736034 -0.16839115
 -0.00468946 -0.15015827  0.06741455 -0.00746665 -0.0420049   0.23740348
 -0.06911568 -0.1112      0.09383225 -0.10919678 -0.00322896 -0.03754959
 -0.02518865  0.03490105  0.01726955  0.10738339]",0.389409922244509,"['안동', '호반', '자연', '휴양림']"
4,0, 그 자연이 강하고 이렇게 어우러져 가지고 엄청 아름다워,"[-0.05069685  0.05381498 -0.08584328  0.03992578  0.17962752  0.00077515
 -0.01421975  0.0456771  -0.02400205 -0.04539076  0.09056369  0.16663407
 -0.15428776  0.08456157  0.18710889  0.02648803 -0.19703399  0.10062096
  0.05300365 -0.0307022  -0.21789029 -0.06940527  0.12992492  0.0455615
  0.20357068 -0.14887623  0.13132912 -0.19209631  0.12070778  0.07428107
 -0.02265153  0.12773351 -0.15609474 -0.00872014  0.1411606   0.17561668
  0.26761502  0.00847706 -0.0360385  -0.14252119  0.04307967  0.09364019
  0.02848714  0.07767111  0.05953655  0.03579545  0.1621205   0.00651729
 -0.15973352 -0.04746024  0.054839    0.19636783 -0.04912543 -0.1634295
  0.17034782  0.08228321  0.16509295 -0.01596051  0.26703766  0.10214654
 -0.2281755   0.03455601 -0.10154705 -0.00866803 -0.11656596 -0.00581674
  0.17434743 -0.1830894  -0.04777097  0.0035218   0.08293924 -0.09974141
 -0.19048257  0.017573    0.16566119  0.26871172 -0.10507547  0.01128491
 -0.11709675 -0.03807881 -0.08796273 -0.08104223 -0.01366576 -0.15492228
 -0.03920083 -0.14435817 -0.05561418 -0.01010338 -0.08029813  0.15014772
 -0.06143404 -0.13691536  0.09597448 -0.11649026 -0.09021749 -0.04733362
 -0.02529611  0.09784134  0.02329849  0.09261755]",0.3894980735415287,"['자연', '강하']"
5,0,두번째는 산음 자연 휴양림이라고 있는데 거기도 양평에 있더라고,"[-0.1193346   0.06954683 -0.09634319  0.05448893  0.17970113 -0.03016124
 -0.05230897  0.03577283 -0.0184622  -0.11392692  0.08299153  0.16429336
 -0.10557279  0.00650376  0.12325218  0.06133902 -0.14155878  0.06840538
  0.00213704 -0.00472337 -0.27623636 -0.05514551  0.00132663  0.14468646
  0.21635081 -0.16678621  0.11658487 -0.2030969   0.10528165  0.04072654
 -0.08048537  0.20909876 -0.11972003 -0.04705161  0.12831134  0.14251108
  0.23709759 -0.01549629  0.0159911  -0.19600382  0.05176717  0.04677769
  0.03882943  0.07142642  0.02883158  0.05028226  0.18787111 -0.0054053
 -0.10211952 -0.0993607   0.08763644  0.17223802 -0.03463344 -0.10951274
  0.13507229  0.01332285  0.17410077 -0.03181949  0.31107068  0.19907022
 -0.226283    0.02873675 -0.10534879  0.06576772 -0.103121   -0.03617949
  0.13049902 -0.16378672 -0.03511617 -0.08681223  0.04692053 -0.07528942
 -0.2535387   0.07422721  0.09494495  0.21991864 -0.1852924  -0.0418
 -0.12531076  0.06307674 -0.09135836 -0.10832369 -0.00172672 -0.06260651
 -0.03164281 -0.09989471 -0.06739447 -0.12472223 -0.10397204  0.10800636
 -0.01083735 -0.11556164  0.0599954  -0.12512976 -0.07238399 -0.02398988
 -0.02824281  0.10662594 -0.05911772  0.04400077]",0.3907535504943392,"['산음', '자연', '휴양림', '양평']"
6,0,그래서 수도권에서 가장 접근성이 좋은 자연 휴양림이라고 ,"[-0.07038648  0.03954371 -0.0685472   0.00872906  0.14551139 -0.04202808
 -0.01933162  0.02980985 -0.01961685 -0.02024496  0.10886505  0.20066398
 -0.12532865  0.07595977  0.19043075  0.00643807 -0.18639554  0.07163537
 -0.07012781 -0.00245665 -0.25972146 -0.14808023  0.15685529  0.14407656
  0.19339758 -0.15943839  0.18226835 -0.18266155  0.10689308  0.03355073
 -0.05611367  0.19731262 -0.1731898  -0.02277472  0.23932832  0.13612135
  0.29810098  0.01819262  0.01320878 -0.23125246 -0.03298683  0.10436764
  0.06153401  0.0895251   0.00268912 -0.02858866  0.22453724 -0.06718188
 -0.12726086 -0.12194984  0.10659123  0.18653509 -0.0706716  -0.17147371
  0.21612166  0.08350077  0.20377307  0.0295744   0.34872213  0.16958125
 -0.21510217 -0.02231066 -0.17538475  0.01948978 -0.10725086 -0.05490281
  0.17361215 -0.12403281 -0.08557139 -0.05069351  0.07017579 -0.13487017
 -0.20931533  0.06705485  0.13172135  0.27931973 -0.14788148  0.03042989
 -0.11138991 -0.01047512 -0.01575305 -0.12992778  0.04760888 -0.14342523
 -0.02485895 -0.1295827  -0.03192805 -0.06426576 -0.12611924  0.174731
 -0.10955354 -0.14589682  0.1363825  -0.17783935 -0.06220376 -0.06134763
 -0.02911302  0.04497439 -0.03286954  0.09220652]",0.39926890931086234,"['수도권', '접근성', '자연', '휴양림']"
7,0,아 그리고 낙안읍성 자연도 있어 벌교에서 가까운 곳이야,"[-0.09555487  0.01525144 -0.06834461 -0.02496503  0.14736034 -0.02975521
 -0.05047991  0.11579315 -0.03753706 -0.12817751  0.07843285  0.22861114
 -0.16824123  0.04858471  0.18108562 -0.00226566 -0.2106732   0.06628568
  0.01962234 -0.00969297 -0.2942057  -0.08745323  0.04016808  0.09225396
  0.22923498 -0.18569149  0.13251115 -0.20616458  0.08306475  0.08659597
 -0.09377739  0.20219587 -0.11978212 -0.03268504  0.15943852  0.13265395
  0.28551364 -0.0255512  -0.07623263 -0.15754677  0.03024018  0.10437707
  0.05871018  0.06452262  0.04449984 -0.01283736  0.15176782 -0.01044002
 -0.19120896 -0.04023641  0.07482563  0.19086109 -0.05601744 -0.18412149
  0.10391957  0.05598454  0.12218827  0.02634828  0.2971972   0.12062676
 -0.17690255 -0.01738578 -0.12264812  0.06993531 -0.09242189  0.00408021
  0.24183823 -0.11284271 -0.09552288  0.00595255  0.06028157 -0.06261831
 -0.14458814  0.01776062  0.17063121  0.3075087  -0.1193143   0.00804572
 -0.13015299 -0.02338352 -0.06181274 -0.09981859  0.01517236 -0.13301976
 -0.02188814 -0.1984492  -0.03978841 -0.04723073 -0.04980725  0.14328313
 -0.0802143  -0.08690318  0.06749936 -0.14643337  0.01432733 -0.00549614
 -0.05033157  0.03816385  0.02400484  0.11608409]",0.40544229040632024,"['낙안', '읍성', '자연', '벌교']"
8,0, 그리고 낙안읍성 자연 휴양림도 있어 벌교에서 ,"[-0.11909074 -0.02088765 -0.0746646  -0.05203366  0.07901755 -0.06497449
 -0.06494193  0.10796101 -0.05190919 -0.09458949  0.03871107  0.24692175
 -0.136575    0.05569737  0.14372121 -0.02339329 -0.21188554 -0.00780461
 -0.08292276 -0.01845126 -0.27785748 -0.09976806  0.03483548  0.15792932
  0.205909   -0.20265833  0.15257972 -0.17014776  0.03498539  0.0282541
 -0.17284752  0.17450288 -0.08540757 -0.04107921  0.18831335  0.106681
  0.2254553  -0.00810957 -0.12273745 -0.20363083 -0.00362588  0.06476739
  0.04737277  0.05938762  0.01448805 -0.04779378  0.14901958 -0.00835185
 -0.12594157 -0.09784221  0.10198512  0.13426512 -0.10870358 -0.14586414
  0.06639248  0.02717418  0.12630507  0.04841661  0.30874664  0.18326086
 -0.1867828  -0.06341974 -0.13306375  0.08965901 -0.01824044 -0.01391214
  0.21740183 -0.07486185 -0.09745728 -0.00248667  0.05229746 -0.0769616
 -0.10196845  0.03257493  0.11760291  0.26866555 -0.09601867  0.00841468
 -0.10054218  0.0143468  -0.02382742 -0.11962064  0.06845957 -0.15949127
  0.00190492 -0.1779663   0.03657996 -0.11221781 -0.05142385  0.14650992
 -0.09468915 -0.08136483  0.08926184 -0.15690503  0.04742053 -0.02450129
 -0.07138349 -0.0044669  -0.0503322   0.12194442]",0.4064658094152463,"['낙안', '읍성', '자연', '휴양림', '벌교']"
9,0,네이보에 찾아해보니까 안동 호반 자연 휴양림이라고 그게 있어서 찾아봤어요,"[-0.07765405  0.08411159 -0.05208615 -0.04638516  0.08853959 -0.07301424
  0.00579997  0.08210251 -0.0981929  -0.07719693  0.08570741  0.21622981
 -0.1436255   0.02371835  0.17855306  0.04293383 -0.20230885  0.12823632
 -0.02530669  0.0059673  -0.30208758 -0.0620912   0.09266809  0.13714653
  0.22748058 -0.23693928  0.2144254  -0.17466538  0.09408295  0.06130973
 -0.06845786  0.19508156 -0.11423437 -0.03060889  0.16207756  0.17445154
  0.22815502 -0.00962756  0.00332967 -0.22822277  0.03860055  0.08433376
  0.04443629  0.04335174  0.0011611  -0.01966805  0.15872179 -0.07239058
 -0.12036513 -0.11048418  0.12316947  0.18708678 -0.09671497 -0.16842408
  0.1528043  -0.00453264  0.1741821   0.02286015  0.34670162  0.16875269
 -0.19942817 -0.07260437 -0.1466047   0.06359328 -0.1154934  -0.00781604
  0.23949903 -0.08152786 -0.04192603 -0.06911005  0.03980045 -0.08399656
 -0.18597765  0.03509013  0.13507657  0.30828625 -0.11987094 -0.01845626
 -0.11004311 -0.03749926 -0.06626562 -0.14546788  0.07306875 -0.11791526
 -0.01953136 -0.18725613  0.04318922 -0.03850788 -0.09004052  0.24637657
 -0.08337029 -0.1376381   0.08701526 -0.18477362  0.01328693 -0.0118241
 -0.03451058  0.04612879 -0.00776789  0.09877852]",0.42144544017593283,"['이보', '안동', '호반', '자연', '휴양림']"
