,cluster,convrs,vec,distance,token
0,0,저렇게 아팠다가 안 아팠다가 그러니까 그거 때문에 걱정이지,"[ 0.03540296 -0.02792717  0.05862071 -0.01987205 -0.01971936 -0.03359089
 -0.01963441  0.00084913 -0.06479342  0.01318916  0.01218826  0.00685141
 -0.00669593  0.02271587  0.02070088 -0.02263698  0.03626602 -0.01474348
 -0.04857572  0.01707872  0.03648232  0.04640555  0.02809022 -0.00515077
  0.00942216 -0.00261533 -0.01744048 -0.02367368  0.01714114 -0.02852575
  0.05819963  0.01627511  0.02049164 -0.01645691 -0.02691346  0.03395198
 -0.01638008 -0.02904668 -0.05432878  0.01005026  0.01387064  0.03139122
  0.00061811 -0.00659001 -0.01134002  0.027812   -0.04526038 -0.02900793
 -0.00881871  0.01589148  0.00891658 -0.03186427  0.02969938  0.03333317
 -0.0108606  -0.00696713  0.04498308  0.01887403 -0.04250014 -0.00982507
  0.00566153 -0.03389031  0.03188553  0.01804424  0.00385437 -0.01395625
  0.01425115  0.02979534  0.02911839  0.01399648  0.04262022  0.00152805
  0.04513743 -0.04036254  0.04250548  0.046669    0.01119509 -0.0263073
  0.01640675  0.0216786  -0.04386307  0.039954   -0.01960055 -0.00678312
 -0.01299177 -0.02266196 -0.00375069 -0.02730917  0.02948576 -0.03998555
  0.02724943  0.0250005  -0.02853545 -0.00850106  0.00901816  0.07770954
 -0.02197293 -0.0619939  -0.04151249 -0.00245228]",0.028641754951693802,['걱정']
1,0,그러면 이혼하는 애들은 또 누구랑 결혼하지 그런 생각을 해,"[ 0.03891201 -0.03148865  0.06554255 -0.01855634 -0.01159387 -0.03531904
 -0.02261553  0.00178054 -0.06096752  0.0203912   0.01356994  0.00794847
 -0.00941851  0.02456379  0.02058678 -0.02834367  0.03633719 -0.0186677
 -0.04520554  0.01436565  0.03732469  0.0508851   0.02102881  0.00223168
  0.01197619 -0.00976573 -0.01399279 -0.02006446  0.01386037 -0.03163517
  0.06145874  0.01936759  0.02123707 -0.01796279 -0.021694    0.03381624
 -0.02020432 -0.03482789 -0.05555772  0.00673833  0.02224407  0.02651881
  0.00708732 -0.00682899 -0.01236601  0.02875025 -0.04498443 -0.03524291
 -0.00726194  0.0199572   0.0086639  -0.03243257  0.02545875  0.04204999
 -0.01244803 -0.00590716  0.04310721  0.02015748 -0.03793508 -0.01705821
  0.00836722 -0.03218399  0.03510991  0.02515738  0.00349473 -0.00924729
  0.016942    0.03450448  0.02593582  0.01622178  0.04742764 -0.00607966
  0.0444452  -0.04512938  0.04383721  0.05052609  0.01030491 -0.02453373
  0.0115495   0.02057276 -0.0470418   0.03911918 -0.0134368  -0.01075837
 -0.01576762 -0.02458801 -0.00674903 -0.03564915  0.02850582 -0.04588284
  0.02719443  0.02399365 -0.02815333 -0.00640237  0.01751117  0.07848184
 -0.02101306 -0.06897538 -0.04921089 -0.00421699]",0.029935168957182467,"['이혼', '결혼', '생각']"
2,0,그러는데 내가 너네  자식들인데 보태주지도 못하니까 ,"[ 0.03908175 -0.02669777  0.05967414 -0.03007142 -0.01743054 -0.03378875
 -0.02278274  0.0078974  -0.06331694  0.01813484  0.0141066   0.01034307
 -0.0098266   0.01907848  0.02396506 -0.03099622  0.0405756  -0.01747771
 -0.05598029  0.02178786  0.04598471  0.05237141  0.01943043 -0.00142444
  0.01130392 -0.00191001 -0.01679552 -0.02178925  0.01223028 -0.02440492
  0.05802523  0.0128207   0.02678476 -0.01912717 -0.02358942  0.03275584
 -0.0197097  -0.03611681 -0.05721544  0.01088414  0.02065307  0.03577111
  0.00171261 -0.00295452 -0.01134929  0.03625639 -0.04508342 -0.03044395
 -0.00575779  0.01828828  0.00893593 -0.03603838  0.03062789  0.03399912
 -0.00895931 -0.00672397  0.04251763  0.01710257 -0.04195409 -0.00923202
  0.00893271 -0.03193893  0.03106894  0.02135197 -0.00180786 -0.01405829
  0.01707126  0.03590335  0.03316396  0.01766993  0.04068925 -0.00063348
  0.0431745  -0.03975531  0.0386629   0.04687094  0.01124588 -0.02821577
  0.01607238  0.01752099 -0.03859389  0.04314528 -0.01223529 -0.00974234
 -0.01184603 -0.02498081 -0.00467267 -0.02977238  0.02752022 -0.04358249
  0.02983463  0.0207659  -0.03182806 -0.00604796  0.01074752  0.07807028
 -0.01773031 -0.06679904 -0.04886687  0.00372166]",0.030645269705916744,"['그러', '자식']"
3,0,내가 옛날에 자기한테 맞고 그렇게 산 걸 생각하면 꼭 버려야지 했어,"[ 0.02889539 -0.02770129  0.05390974 -0.02520014 -0.01783178 -0.03979207
 -0.02235095  0.00050734 -0.06092222  0.01487341  0.01344366  0.01012562
 -0.0137864   0.02746918  0.02269408 -0.03267117  0.03912565 -0.02428225
 -0.0482829   0.01388143  0.04869261  0.0452324   0.02270875 -0.00053902
  0.01348692 -0.00594538 -0.01773111 -0.02572035  0.01240145 -0.03278176
  0.05498886  0.02046339  0.02118701 -0.01237023 -0.02397831  0.02924574
 -0.01612774 -0.03603147 -0.06347839  0.00958371  0.0220944   0.02871319
 -0.00096989 -0.00563522 -0.01675802  0.02361012 -0.0390425  -0.03038371
 -0.00850596  0.01433756  0.00962784 -0.03464954  0.03440202  0.04088765
 -0.01340299 -0.00832498  0.0429051   0.01970705 -0.03883742 -0.01697086
  0.0021447  -0.0376044   0.02900471  0.01818245  0.00048221 -0.01337937
  0.0083241   0.03795559  0.02635401  0.0101928   0.04042496  0.00115881
  0.0432392  -0.04672098  0.03693748  0.04730472  0.01194086 -0.02686224
  0.01153587  0.01734324 -0.04069706  0.04180566 -0.02114527 -0.00689855
 -0.01652136 -0.02980973 -0.00982756 -0.0296859   0.03057896 -0.03663493
  0.0286669   0.02890166 -0.03319748 -0.00336501  0.00970338  0.07404254
 -0.02062418 -0.0670696  -0.04769938  0.0004344 ]",0.03382574581758357,"['옛날', '생각']"
4,0,이 생각도 사실은 내가 많이 하거든 그런데 또 그렇기도 해,"[ 0.03634977 -0.02474038  0.05963336 -0.02469448 -0.01327148 -0.03500494
 -0.02784969  0.00410414 -0.06772895  0.01957975  0.00946899  0.01427604
 -0.00911812  0.02260059  0.01430259 -0.03069319  0.03781634 -0.01154537
 -0.04559569  0.01712296  0.03833703  0.04127632  0.02871476 -0.00188438
  0.00724535 -0.00318747 -0.01978184 -0.02455532  0.01158763 -0.03201831
  0.05104231  0.01444605  0.01953515 -0.01467313 -0.02428806  0.03234361
 -0.01938394 -0.03591665 -0.05216586  0.01016349  0.01506686  0.03171817
  0.00519468 -0.00557993 -0.01257391  0.02967531 -0.04466355 -0.0316614
 -0.002619    0.01315467  0.00851592 -0.03379498  0.02761179  0.03213355
 -0.00445295 -0.01265303  0.0445363   0.01337683 -0.04273428 -0.01266879
  0.00490798 -0.03709392  0.03240146  0.02044046  0.00223564 -0.01106475
  0.01276539  0.03044392  0.02316761  0.01218831  0.04549108 -0.00346275
  0.0383216  -0.03820565  0.0426375   0.04633299  0.01132557 -0.01910781
  0.01595997  0.01530865 -0.04560871  0.03428058 -0.01754141 -0.0055582
 -0.01303738 -0.02075037 -0.00930559 -0.02537291  0.02912067 -0.03832797
  0.02220102  0.02357215 -0.03045671 -0.00549616  0.01366202  0.06814012
 -0.01236255 -0.06261741 -0.04212318 -0.00112426]",0.03444381313696845,"['생각', '그렇']"
5,0,그런 생각이 들더라고 그래서 좋은 사람을 만나려면 ,"[ 0.03784013 -0.02432281  0.05826363 -0.02420774 -0.01314304 -0.0345123
 -0.02206781  0.00369951 -0.07118547  0.01396087  0.01492711  0.01342645
 -0.01768687  0.02216223  0.01777423 -0.02932037  0.03553912 -0.01579534
 -0.04752597  0.0102229   0.04544879  0.04384948  0.02638452 -0.00406789
  0.00701523 -0.00556834 -0.02255322 -0.02091441  0.01877944 -0.02825325
  0.05480171  0.01327783  0.01906617 -0.01123103 -0.02071772  0.03821572
 -0.0142416  -0.03847675 -0.05040444  0.01148785  0.02215465  0.02467249
  0.00606667 -0.00699061 -0.01912573  0.03292869 -0.04578019 -0.02968567
 -0.01475653  0.02378643  0.01002008 -0.02697759  0.03540447  0.03218384
 -0.00872388 -0.00535686  0.04361519  0.02317557 -0.04186672 -0.00976547
  0.00744434 -0.04015588  0.03294889  0.01863302  0.00418335 -0.01843523
  0.01271418  0.03127495  0.02655802  0.00979536  0.04713605 -0.00342912
  0.03767052 -0.04553297  0.04104615  0.04327408  0.00473439 -0.02462075
  0.00435167  0.01965848 -0.04825285  0.03995238 -0.00913465 -0.007768
 -0.01475108 -0.02860682 -0.00588527 -0.02907278  0.02722156 -0.03858521
  0.02187503  0.01981871 -0.02863902 -0.00588727  0.01360517  0.07075246
 -0.01829704 -0.06340069 -0.04479194 -0.00370857]",0.03452307994241584,"['생각', '사람', '만나']"
6,0,그래서 이 사람도 확실히 애들이 있으니까 내 마음이 든든하다더라고,"[ 0.03447115 -0.02838529  0.05523529 -0.01576488 -0.01169664 -0.02970367
 -0.02606011  0.00630795 -0.05969074  0.01482856  0.00645631  0.01309285
 -0.01051039  0.02269943  0.02110337 -0.0300575   0.03811297 -0.0203138
 -0.04413837  0.02013879  0.04716292  0.04509842  0.01982431 -0.00350728
  0.01226137 -0.00737829 -0.014819   -0.01844978  0.01515753 -0.02429035
  0.05898885  0.01712682  0.02257713 -0.0191087  -0.01984092  0.02690386
 -0.02113527 -0.0323002  -0.05631463  0.01283119  0.02231418  0.02590724
  0.00788477 -0.00505676 -0.01535758  0.03056549 -0.04700891 -0.02883594
 -0.00693388  0.02374412  0.01385181 -0.02629614  0.03383175  0.03417224
 -0.01105397 -0.00761674  0.04168106  0.01172469 -0.03529581 -0.00999275
  0.00269433 -0.03688857  0.03452065  0.01783187  0.00685226 -0.0111617
  0.0124184   0.03596453  0.02425162  0.01494023  0.04597254  0.00355603
  0.03509773 -0.0414119   0.04672302  0.04380919  0.00682697 -0.02216618
  0.01362764  0.02575052 -0.03761738  0.03285793 -0.01247492 -0.00962757
 -0.00877734 -0.02478401 -0.00691285 -0.028908    0.03155193 -0.03394604
  0.02439028  0.02034585 -0.03455269 -0.00793189  0.01369235  0.06915691
 -0.01687725 -0.05806268 -0.04235468  0.00384758]",0.03470521185673507,"['사람', '마음']"
7,0,그러다 보니까 애들 키울 때 아 진짜 이혼하고 싶다 이랬지,"[ 0.03882216 -0.02933244  0.06498065 -0.01977438 -0.01450371 -0.03647601
 -0.02850501  0.00714445 -0.06136374  0.02070208  0.01427381  0.00628365
 -0.00500149  0.02071506  0.02874728 -0.03195246  0.03743014 -0.01764918
 -0.05261739  0.01602244  0.04542967  0.05556574  0.02259353  0.00015037
  0.00937868 -0.00316764 -0.01968729 -0.01897785  0.01768235 -0.03219268
  0.06443874  0.01844816  0.02258033 -0.01591117 -0.02576812  0.03002691
 -0.02485452 -0.03222453 -0.0586869   0.00880429  0.02188011  0.03290397
 -0.0002194  -0.00261174 -0.0128132   0.02742168 -0.04429464 -0.03308485
 -0.00133453  0.01926763  0.01260586 -0.03550031  0.03429935  0.04310023
 -0.01405257 -0.00715365  0.04083588  0.01451398 -0.04225398 -0.01262422
 -0.00124197 -0.03392752  0.03207547  0.02215935  0.00099145 -0.01850653
  0.01725296  0.03562701  0.02297924  0.02058399  0.04321173 -0.00481551
  0.04457755 -0.04518917  0.03611769  0.04411151  0.00423726 -0.02168129
  0.01404355  0.01989849 -0.04688902  0.04627497 -0.01348375 -0.00973604
 -0.01310604 -0.03016382 -0.00085999 -0.03120369  0.03437158 -0.04480252
  0.02493609  0.02299381 -0.03161339 -0.00661826  0.01347686  0.08384388
 -0.02221466 -0.06843289 -0.04672571  0.0008246 ]",0.03470881363362846,"['그러', '이혼']"
8,0,그런 걱정은 이제 뭐 접으려고 생각해 자꾸 사람이 살다 보면 그렇잖아,"[ 0.03812997 -0.02542208  0.06164621 -0.01934416 -0.01539399 -0.04137161
 -0.02163353  0.00671895 -0.06885053  0.00829531  0.00723406  0.00725609
 -0.00950981  0.02340673  0.0200943  -0.03035334  0.03917971 -0.01523863
 -0.04464503  0.02326986  0.03933239  0.04168091  0.02463743 -0.00091678
  0.00739108 -0.00410395 -0.01946789 -0.02070656  0.01980536 -0.03243722
  0.05619781  0.01309528  0.01547055 -0.01424513 -0.01694684  0.02890365
 -0.01655471 -0.03552362 -0.05277517  0.00862881  0.01654774  0.02843546
 -0.00019073 -0.00513659 -0.01386968  0.02772995 -0.03951997 -0.02304286
 -0.01427077  0.02353729  0.01721245 -0.03237541  0.02936519  0.0335318
 -0.00893403 -0.00849819  0.03843556  0.01467413 -0.04179675 -0.00925212
  0.00610884 -0.0363798   0.02912434  0.02633671 -0.00046189 -0.00867176
  0.0096079   0.03240589  0.02841498  0.01719198  0.03632691 -0.00244518
  0.04040276 -0.04065697  0.04020007  0.0430845   0.00920078 -0.01799506
  0.01676076  0.02374153 -0.04038613  0.03732049 -0.01837824 -0.00617693
 -0.00612873 -0.02690484 -0.00745437 -0.03183174  0.03206374 -0.03557406
  0.02584547  0.02945264 -0.03202027 -0.00782983  0.01665078  0.07414384
 -0.01707486 -0.06334261 -0.0386405   0.00363514]",0.035993069092578794,"['걱정', '생각', '사람', '그렇']"
9,0,이혼하고 말고 지금은 못 살지 옛날처럼 살아라 하면 못 살지,"[ 0.03765935 -0.03572015  0.06229573 -0.02553535 -0.01242015 -0.03550003
 -0.02192732  0.00815181 -0.06310953  0.02355903  0.01260552  0.01456873
 -0.00953328  0.02370288  0.02453595 -0.02754652  0.03917886 -0.01596802
 -0.04791064  0.01630407  0.03715236  0.04875355  0.02097891  0.00110375
  0.01323369  0.00143845 -0.01515362 -0.02224249  0.01361226 -0.0229301
  0.05884446  0.01500852  0.02649831 -0.01422622 -0.01918397  0.03223404
 -0.01935845 -0.02930721 -0.06265725  0.01403556  0.02094754  0.0224453
  0.00360159 -0.00021969 -0.00888457  0.02872882 -0.04007585 -0.02940146
 -0.00908805  0.01525675  0.0094908  -0.03111646  0.0322907   0.03572039
 -0.01812396 -0.01054554  0.0377427   0.01787357 -0.03883511 -0.0103575
  0.00492908 -0.02971461  0.02905583  0.01897693  0.00468353 -0.01553352
  0.01645583  0.02709356  0.03070955  0.01966603  0.04730434 -0.00325961
  0.04403248 -0.04658831  0.03907654  0.05324858  0.00789991 -0.02141027
  0.0052823   0.01756936 -0.03546754  0.04312012 -0.02034378 -0.00817505
 -0.01382052 -0.02776728  0.0023753  -0.03096514  0.02633709 -0.04521979
  0.02038249  0.0217295  -0.03088641 -0.00046915  0.01161215  0.07995815
 -0.01289397 -0.06618397 -0.0449482   0.00014418]",0.036087914529450454,"['이혼', '옛날']"
