,cluster,convrs,vec,distance,token
0,0,그에 사로잡혀서 조급해지고  이런 일이 반복이 되고 누적이 되다 보면 급해지지,"[ 0.00093459 -0.20725055  0.09672606  0.04052145 -0.00207366 -0.182184
  0.08189426 -0.18419904 -0.20455883  0.01488548  0.10928033 -0.08682931
  0.01576017  0.03138509  0.07249774  0.00378277  0.154775    0.0061962
  0.01925466  0.09912433  0.03727559  0.14405362  0.034219   -0.01439743
 -0.06100664 -0.09680627  0.02859071 -0.04751268  0.2487051  -0.12091111
  0.2794524  -0.01979847  0.2058838   0.00168    -0.02587971  0.07156115
 -0.00570503  0.01793365 -0.2653336  -0.05867785  0.01969786  0.16936077
  0.01345354  0.0279276  -0.15861891 -0.03721426 -0.02912238  0.08422109
  0.07026409  0.04697881  0.16581434  0.02244608  0.12238218  0.2282653
 -0.19780517 -0.11409322  0.10706662  0.12253566 -0.12398595 -0.00355255
  0.15946244 -0.23571886  0.07795355 -0.02823245  0.07538751 -0.13261236
 -0.1281019   0.00479171  0.13107029 -0.02323298  0.27187076  0.02025756
  0.15183821 -0.17135456 -0.04717959  0.26689482  0.16925739  0.05719149
 -0.01913611  0.11609228 -0.13526398  0.207186   -0.1541198  -0.1585183
  0.02106521 -0.17279655  0.00397873 -0.12653038 -0.06724516 -0.20946918
  0.13335623  0.10046972 -0.21532921  0.03406752  0.00911888  0.31050295
 -0.01409789 -0.154007   -0.0758422   0.01967461]",0.058453067337438776,"['반복', '누적']"
1,0,그런데 또 요즘 추세가 다들 그렇게 하더라고요 그래서 참  싶어요,"[ 0.00459612 -0.21344024  0.10417135  0.05868251  0.00677888 -0.18335807
  0.07562245 -0.18390061 -0.19709648  0.01081888  0.12349787 -0.09414884
  0.02788672  0.03941179  0.0828058   0.00378819  0.16386053 -0.00467845
  0.02890986  0.10719626  0.03311041  0.14341943  0.03111827 -0.00766093
 -0.06629723 -0.09983891  0.02392907 -0.04442522  0.24939598 -0.13297744
  0.30417195 -0.00597944  0.20886084 -0.01137405 -0.03075106  0.08813628
 -0.02016785  0.02097038 -0.2787656  -0.06131945  0.02377978  0.17056519
  0.02407259  0.03483594 -0.15286309 -0.0411073  -0.02845722  0.08205623
  0.07061842  0.03386009  0.1578995   0.02409335  0.1353282   0.24484508
 -0.20863995 -0.10434689  0.11012006  0.12589908 -0.11911336  0.00448926
  0.16390333 -0.24339661  0.0802248  -0.03110355  0.08459993 -0.13294315
 -0.12670319  0.01932494  0.14564197 -0.0197175   0.28771773  0.03169688
  0.1739968  -0.17543992 -0.05601448  0.2737831   0.17959101  0.06363069
 -0.01676474  0.12384252 -0.14513698  0.21951292 -0.14523959 -0.14193718
  0.03203067 -0.16128395  0.00386322 -0.12782967 -0.0684519  -0.21879007
  0.14818002  0.09993967 -0.23047188  0.04411434 -0.00582301  0.31924608
 -0.01161052 -0.15855604 -0.07717507  0.03820618]",0.06884330320193212,"['추세', '싶어요']"
2,0,그런데 또 별걱정을 다 한다고 나 또 감시하는 거지 이렇게 말을 하더라고요,"[-0.00662107 -0.21497947  0.1052243   0.04129469 -0.00645591 -0.18498266
  0.07663137 -0.17771854 -0.19720602  0.00339601  0.12117906 -0.08404373
  0.02041407  0.05214652  0.08085424  0.00369609  0.14298649 -0.00555066
  0.02187459  0.09712135  0.01840416  0.14172637  0.03078286 -0.00721031
 -0.06361346 -0.10482693  0.02055456 -0.04877901  0.25708967 -0.11324626
  0.28128353 -0.00268522  0.20851363 -0.00040176 -0.03117192  0.08432487
 -0.02194918  0.01107102 -0.26412842 -0.0463204   0.0207518   0.16431966
  0.00950616  0.02206647 -0.15847348 -0.0296449  -0.04168622  0.07404063
  0.08337324  0.03872365  0.15981363  0.01986742  0.12607247  0.23694527
 -0.21033302 -0.1059808   0.10678614  0.12326466 -0.10787604 -0.00249595
  0.15099874 -0.23625617  0.07273149 -0.0369879   0.08856352 -0.12407783
 -0.13160554  0.01745021  0.13675505 -0.01041266  0.27514014  0.02560845
  0.16900241 -0.18367304 -0.06119629  0.26674587  0.16586371  0.05606737
 -0.014568    0.12032104 -0.138646    0.19918145 -0.14429742 -0.13774453
  0.02617243 -0.1624482   0.01109908 -0.12105989 -0.05254205 -0.2072738
  0.13426515  0.09748956 -0.2146055   0.03823198  0.00120914  0.3148235
 -0.01469581 -0.14109357 -0.06625065  0.02171324]",0.07425326033128841,"['별걱정', '감시']"
3,0,작은 애는 책을 참 많이 읽었어요 독서와 관련된 상을 계속 받아오더라고요,"[ 3.06217466e-04 -2.19478339e-01  9.47420076e-02  4.36556377e-02
  1.15695223e-02 -1.77629232e-01  6.92830086e-02 -1.88792497e-01
 -1.90728784e-01  4.74280119e-03  1.14424549e-01 -9.02961493e-02
  3.15811522e-02  2.94535048e-02  7.37312287e-02  5.40640298e-03
  1.48390353e-01 -5.92647213e-03  2.36880351e-02  1.01841539e-01
  2.36163810e-02  1.36836901e-01  2.91176885e-02 -8.40079039e-03
 -7.05750510e-02 -1.06390372e-01  2.29169205e-02 -3.28661352e-02
  2.38216430e-01 -1.23667993e-01  2.80853987e-01 -2.34042201e-02
  2.03430504e-01 -1.22583145e-02 -2.63549164e-02  7.86127225e-02
 -1.10678459e-02  1.06595792e-02 -2.64506936e-01 -6.23877719e-02
  1.63926892e-02  1.71006069e-01  3.16806063e-02  2.40490325e-02
 -1.48874149e-01 -3.83594036e-02 -3.16033699e-02  6.91568255e-02
  6.59285635e-02  3.81938666e-02  1.64768666e-01  2.52461843e-02
  1.34367436e-01  2.28926539e-01 -2.03404248e-01 -1.02636911e-01
  1.09610192e-01  1.22468024e-01 -1.22234151e-01 -4.79933014e-03
  1.68324828e-01 -2.43381694e-01  6.89981654e-02 -2.77258996e-02
  8.92854929e-02 -1.36225745e-01 -1.28247529e-01  2.05238331e-02
  1.16543233e-01 -2.61534154e-02  2.66263783e-01  2.70876922e-02
  1.58860862e-01 -1.66177526e-01 -5.44613451e-02  2.67782450e-01
  1.69798046e-01  6.95048943e-02 -1.49597311e-02  1.18513383e-01
 -1.35171801e-01  1.92623183e-01 -1.40373632e-01 -1.33310944e-01
  2.40497980e-02 -1.60641134e-01  1.64290257e-02 -1.38566166e-01
 -7.29479417e-02 -2.13275239e-01  1.46193877e-01  8.57050344e-02
 -2.16569215e-01  3.81909721e-02 -1.18896402e-02  3.21066529e-01
 -1.02364346e-02 -1.47365496e-01 -6.42045364e-02  2.10667253e-02]",0.07971853895247955,"['독서', '관련']"
4,0,어느 폭의 걸음으로  길을 따라가야 한다고 설정을 해놓고,"[ 1.24573680e-02 -1.90066293e-01  9.32427794e-02  4.89192419e-02
  3.56149045e-03 -1.87488645e-01  8.44980329e-02 -1.98447824e-01
 -1.98963493e-01  1.33372480e-02  1.23162396e-01 -9.42344666e-02
  1.90548059e-02  1.21408598e-02  6.70985058e-02  3.35973757e-03
  1.59388795e-01  8.95817671e-03  2.92554721e-02  1.17157675e-01
  2.61747371e-02  1.49140149e-01  5.49187101e-02 -1.34197092e-02
 -5.56163378e-02 -8.63639563e-02  3.78207713e-02 -3.37103866e-02
  2.40580007e-01 -1.20356321e-01  2.88555503e-01 -1.33878719e-02
  2.12511197e-01  1.22859667e-03 -2.33847704e-02  7.47227743e-02
 -2.30401661e-02  6.82380004e-03 -2.60071695e-01 -5.72950467e-02
  2.82081682e-02  1.77892879e-01  1.66237559e-02  3.36608924e-02
 -1.50473028e-01 -3.11078820e-02 -2.81949360e-02  7.42136836e-02
  7.30440542e-02  2.99431644e-02  1.62838206e-01  2.63649747e-02
  1.31943092e-01  2.24229977e-01 -2.01205015e-01 -1.09926425e-01
  1.08001411e-01  1.31522670e-01 -1.13177627e-01 -1.00888684e-02
  1.51635841e-01 -2.46196806e-01  6.97600991e-02 -2.37939358e-02
  7.00353235e-02 -1.39008373e-01 -1.12498008e-01  3.19303130e-03
  1.30857185e-01 -2.49573849e-02  2.75033057e-01  2.71559823e-02
  1.55130118e-01 -1.81231260e-01 -4.20200378e-02  2.77273685e-01
  1.74547538e-01  7.19053075e-02 -1.50013492e-02  1.13274425e-01
 -1.44229025e-01  2.08245322e-01 -1.50869057e-01 -1.43132523e-01
  1.81161445e-02 -1.60622314e-01  1.24546772e-04 -1.53630391e-01
 -5.20233773e-02 -2.13480756e-01  1.41463652e-01  1.03839241e-01
 -2.26666272e-01  5.25537357e-02  4.63061174e-03  3.17501128e-01
 -1.27641233e-02 -1.39668778e-01 -8.16677436e-02  3.43211852e-02]",0.0889490973317084,"['걸음', '따라가', '설정']"
5,0,내가 갖다  나는 한번 훑어보고  계속 ,"[-0.0005271  -0.20475303  0.09913725  0.04758961  0.00433997 -0.1671147
  0.06792606 -0.18044262 -0.1925293   0.00623053  0.12009276 -0.09538312
  0.01624752  0.04153628  0.08974983  0.00920843  0.15052053 -0.0070499
  0.01911188  0.10151076  0.02223905  0.14524283  0.03111691  0.00170872
 -0.0718639  -0.09464562  0.02593382 -0.04468236  0.2328465  -0.11730859
  0.27220556 -0.02571072  0.19300951 -0.00368956 -0.02891239  0.07912218
 -0.00711234  0.01785709 -0.25176087 -0.05307136  0.01874235  0.1492967
  0.02458065  0.01888852 -0.14480469 -0.03096254 -0.0240887   0.06763721
  0.07308648  0.04563722  0.15558702  0.03359612  0.127175    0.22942685
 -0.19780684 -0.11749335  0.09559743  0.12875497 -0.11683508 -0.00689922
  0.15506195 -0.23165862  0.07890997 -0.04227833  0.07944836 -0.12951691
 -0.11810289  0.02029434  0.11957489 -0.01137339  0.26072457  0.02361383
  0.14978085 -0.16752164 -0.03958352  0.2474085   0.1672829   0.05329928
 -0.01277999  0.11584903 -0.13882698  0.19831242 -0.14689761 -0.14027816
  0.01569231 -0.15060021  0.00824325 -0.11608505 -0.05377085 -0.18757825
  0.13814636  0.09624736 -0.20959133  0.03159733 -0.00493776  0.30189088
 -0.00491004 -0.15083677 -0.0555216   0.03118723]",0.0940682024337687,"['훑어보', '계속']"
6,0,책을 쓰게 된 계기가 호텔 방에서 잠을 자는데 서류를 다 잃어버렸대요,"[ 0.00505543 -0.22196858  0.11365419  0.04927348 -0.0015657  -0.1770538
  0.08559585 -0.20024891 -0.19304     0.02163639  0.12715982 -0.10045242
  0.02455254  0.03540635  0.08597767 -0.00467977  0.16700245 -0.00614685
  0.03876876  0.10994847  0.04178672  0.15486878  0.04347111  0.00206135
 -0.07558351 -0.09581286  0.03646978 -0.04010093  0.26532078 -0.1176007
  0.30639803 -0.01186632  0.22457477 -0.01768059 -0.03456778  0.07835661
 -0.00432792  0.01352844 -0.2870669  -0.05928956  0.0271099   0.17153513
  0.02050966  0.04117768 -0.16499384 -0.03723069 -0.04030545  0.08655017
  0.0726964   0.02732457  0.16075051  0.02008376  0.1334392   0.24546811
 -0.21489398 -0.11344579  0.11612089  0.12620498 -0.13659747 -0.00748984
  0.1617114  -0.25171247  0.08408229 -0.03574086  0.08565921 -0.13749172
 -0.13026513  0.02603582  0.14809972 -0.02015763  0.2898464   0.02227617
  0.163618   -0.19631886 -0.05500596  0.27730262  0.17665586  0.07020271
 -0.01537751  0.12922268 -0.1546163   0.21219277 -0.1596096  -0.15613647
  0.01802399 -0.18208958  0.00290657 -0.12166931 -0.06744509 -0.21751978
  0.13794635  0.09966444 -0.24070334  0.04781953  0.00203443  0.3298874
 -0.01507314 -0.14815216 -0.07462233  0.04284784]",0.09654791738797677,"['계기', '호텔', '서류']"
7,0,우리는 단지 옆에서 조언을 해줄 수밖에 없는 위치잖아 애들이 알아서 하잖아,"[-0.00606281 -0.22911482  0.10913987  0.04343783 -0.00353721 -0.19159316
  0.08168519 -0.19050056 -0.21309339  0.00177084  0.13597862 -0.09398298
  0.02183479  0.04693077  0.09717123  0.00102913  0.1554572   0.0011252
  0.0252846   0.11551671  0.02001013  0.16717525  0.03925191 -0.01387977
 -0.05969171 -0.11439658  0.02507864 -0.05548996  0.2532278  -0.12754269
  0.31582487 -0.01635708  0.22613022 -0.00249644 -0.03504742  0.09837617
 -0.01549734  0.0162726  -0.2904055  -0.06212262  0.02449351  0.16957124
  0.02834569  0.03580605 -0.1597685  -0.04117423 -0.04080728  0.08174565
  0.08408643  0.04579651  0.16958742  0.0154569   0.12752186  0.25178218
 -0.22282487 -0.11947466  0.12539925  0.1341513  -0.1201175   0.00252619
  0.16892366 -0.24553584  0.08711296 -0.03089091  0.09724153 -0.14380509
 -0.13473646  0.02032647  0.14886935 -0.01031938  0.2990382   0.03269065
  0.17776375 -0.18459168 -0.06035614  0.28410608  0.18353787  0.05646905
 -0.01417121  0.12439249 -0.1446077   0.21806777 -0.1550021  -0.14996217
  0.02227578 -0.17567147  0.00956672 -0.13341199 -0.06209913 -0.21502316
  0.14921892  0.10543381 -0.23314533  0.04048113 -0.0052148   0.33694074
 -0.00254247 -0.15854648 -0.06341758  0.03066969]",0.10259715294545098,"['조언', '위치']"
8,0,메모 쳐다보면서 하니까 불빛이 너무 어두워  가지고 전혀 볼 수가 없었어,"[ 0.01934547 -0.21807802  0.09721546  0.04804594  0.00909044 -0.19622229
  0.09129069 -0.20850869 -0.2126148   0.01284232  0.13363437 -0.10867753
  0.02894193  0.02471133  0.08972586  0.0066996   0.17508072  0.00799074
  0.03481966  0.11333724  0.02733702  0.15294845  0.04438843 -0.01096116
 -0.06040903 -0.09135731  0.03538649 -0.04247927  0.26228714 -0.12172128
  0.31147617 -0.0381114   0.23003563 -0.00691855 -0.03311933  0.08725106
 -0.01975354  0.02127679 -0.28721482 -0.065837    0.02344016  0.18871479
  0.02459438  0.03529435 -0.17405982 -0.0458898  -0.03170987  0.08954967
  0.08604176  0.02833638  0.1718075   0.02688143  0.13606273  0.25152937
 -0.2142867  -0.11397415  0.10994276  0.13189878 -0.11586331  0.00098293
  0.16810372 -0.26433665  0.087387   -0.04229863  0.08359061 -0.12635197
 -0.13477333  0.01455271  0.14965217 -0.01036758  0.2938932   0.01511019
  0.17394434 -0.1742234  -0.04563904  0.2929635   0.17943218  0.06140767
 -0.01230604  0.12858859 -0.15304187  0.21207951 -0.15913326 -0.15139106
  0.02036402 -0.16360739  0.01200765 -0.13522422 -0.07514323 -0.22775608
  0.14531462  0.10336145 -0.22947843  0.05020343 -0.00385147  0.32139078
 -0.00255701 -0.16125987 -0.08515859  0.0372805 ]",0.10447353204935371,"['메모', '쳐다보', '불빛']"
9,0,그래도 잘 헤쳐 나갈 거예요 걔가 워낙 야무지고 다부지니까,"[ 3.16755241e-03 -2.19929561e-01  1.10010736e-01  5.04785106e-02
  8.87959730e-03 -2.00799972e-01  8.08345750e-02 -1.95951000e-01
 -2.20261753e-01  1.34287691e-02  1.32231280e-01 -9.01173651e-02
  2.29863934e-02  3.52200568e-02  9.33342502e-02  1.10953944e-02
  1.70888931e-01 -1.57454261e-03  2.05004737e-02  1.16957977e-01
  1.95961092e-02  1.48755118e-01  4.48777005e-02  4.81721526e-03
 -5.50389960e-02 -1.01066858e-01  2.07540821e-02 -3.94518189e-02
  2.51799524e-01 -1.35488033e-01  3.04227948e-01 -2.38642115e-02
  2.13029787e-01  5.22892084e-03 -3.03554647e-02  9.01341662e-02
 -2.46324521e-02  2.37352196e-02 -2.88883269e-01 -7.54982084e-02
  2.57253274e-02  1.66533515e-01  2.45165527e-02  3.85019332e-02
 -1.63050070e-01 -2.49206182e-02 -4.44069095e-02  8.35076720e-02
  6.14214502e-02  4.22769152e-02  1.76440001e-01  2.27957796e-02
  1.27427563e-01  2.43045822e-01 -1.95053056e-01 -1.17865972e-01
  1.10533148e-01  1.38529196e-01 -1.33121893e-01 -3.01582203e-03
  1.71155721e-01 -2.65442431e-01  8.96095634e-02 -4.20529805e-02
  7.74786323e-02 -1.29472911e-01 -1.23503134e-01  1.34009672e-02
  1.41089141e-01 -1.41611034e-02  2.94259280e-01  1.96178444e-02
  1.79875314e-01 -1.79295838e-01 -5.35098761e-02  2.89213181e-01
  1.83127135e-01  6.15390651e-02 -6.98427204e-03  1.20826006e-01
 -1.38688847e-01  2.37657130e-01 -1.47297129e-01 -1.56082198e-01
  2.86214538e-02 -1.73431143e-01  1.26946170e-03 -1.53829187e-01
 -7.69963935e-02 -2.29733273e-01  1.51215702e-01  1.09507069e-01
 -2.30794400e-01  4.67331335e-02  3.86078958e-03  3.39474648e-01
  2.41846006e-04 -1.70133248e-01 -6.78022951e-02  2.59512346e-02]",0.10795296572376169,"['야무지', '다부지']"
