,cluster,convrs,vec,distance,token
0,0,그렇게 열심히 하고 부지런하기는 한데 제가 땅 살 돈이 없어서 안 되겠어요,"[-0.09641788  0.04340815 -0.18386044  0.00402105 -0.04026238  0.07462785
 -0.06025777  0.08934639  0.04148703  0.07622237 -0.13494976 -0.03037999
 -0.00798316  0.01282106  0.06946838  0.01574757 -0.02366195 -0.00993471
 -0.01935618 -0.10816918  0.00462067  0.05919391 -0.03931604  0.01934696
  0.05106181 -0.05417779 -0.00870201  0.10957199  0.05726329  0.03543947
 -0.0730717  -0.01470802  0.0428507  -0.00037645  0.02508583  0.08040978
 -0.04788296  0.19666164 -0.06075724  0.16751517 -0.03229381  0.04617199
  0.02418845  0.02129435 -0.006346    0.10692871  0.15402342  0.0157295
 -0.09004161 -0.05209216  0.08646031 -0.04033792  0.01799198  0.1122309
  0.06045425  0.00453031  0.07610001  0.00216794 -0.00654083  0.03445996
 -0.05230388  0.08214747 -0.03563844 -0.1509831  -0.00784124 -0.1005013
 -0.03748009  0.05253895 -0.02356817 -0.0290613   0.15241012 -0.05960166
  0.0827252  -0.03817566  0.05759117  0.01633653 -0.00225406 -0.11359694
 -0.00883974 -0.08650506  0.1149161  -0.01753283 -0.00160836 -0.08897959
  0.05037659  0.02061674 -0.05817794  0.08639764  0.09481518  0.16722785
  0.12060972 -0.05054051  0.04207142 -0.00738081  0.10794467  0.10052054
  0.01771085  0.02274739  0.05146544 -0.1484167 ]",0.04267467072139841,['부지런']
1,0,그렇게 시를 쓰면 나중에 내가 읽어 봐도 잘 썼다는 생각이 들거든,"[-0.0949562   0.05616436 -0.16841851  0.00205991 -0.03727672  0.08591917
 -0.06346728  0.09396356  0.04787843  0.07746901 -0.12970616 -0.02650457
 -0.00398469  0.0178164   0.06889527  0.01587285 -0.02123743 -0.00283548
 -0.01029027 -0.10829495  0.00153416  0.06652445 -0.03314155  0.02554543
  0.04721223 -0.05096947 -0.01872794  0.10208823  0.06106517  0.03920447
 -0.06728669 -0.01880713  0.04738483 -0.00805587  0.01754195  0.08370358
 -0.04415171  0.19035938 -0.06840386  0.16465957 -0.02626513  0.05504145
  0.02088542  0.02440207 -0.00278564  0.09785667  0.14965935  0.02672607
 -0.08451701 -0.05037044  0.08104531 -0.04076825  0.02212969  0.10573783
  0.0577377  -0.00747418  0.06440652  0.00446137 -0.00972489  0.0350841
 -0.0539597   0.07850747 -0.03543599 -0.14505015 -0.00786868 -0.09949357
 -0.04133272  0.05580568 -0.01417377 -0.01804856  0.15576532 -0.06448701
  0.07815775 -0.03520195  0.0509856   0.01657181 -0.00150684 -0.11272505
 -0.00606841 -0.09002741  0.12371808 -0.02010506 -0.01144846 -0.09499931
  0.05497996  0.03222606 -0.05812183  0.08677764  0.08910064  0.16751538
  0.11571927 -0.05748306  0.04175359  0.00335182  0.10348625  0.09398687
  0.02176905  0.01076185  0.05209903 -0.15199825]",0.04422503920277506,"['나중', '생각']"
2,0,이쁘네 사 봐 이건 안 되겠네라면서 휴일에 소핑하는 것이 너무 기다려져,"[-0.09739646  0.05334095 -0.18342641  0.01061493 -0.05054895  0.08557742
 -0.06308525  0.08998596  0.04864268  0.08704768 -0.13452004 -0.03800984
 -0.00802837  0.021511    0.06589976  0.01011685 -0.02073409 -0.0076733
 -0.01450482 -0.09811419  0.00089423  0.05743973 -0.03518315  0.02459291
  0.04902454 -0.05277464 -0.0153323   0.10370242  0.04977391  0.03890743
 -0.07091177 -0.02029913  0.04613259 -0.00413068  0.03140323  0.07843207
 -0.04297144  0.1902559  -0.05302846  0.16028562 -0.03712055  0.04465633
  0.00602419  0.02079126 -0.00138682  0.10652384  0.14381249  0.02287577
 -0.08750481 -0.06239291  0.09426743 -0.04442268  0.02048689  0.11312335
  0.05929095  0.01222412  0.06661053 -0.00054719 -0.00436272  0.03781697
 -0.04747616  0.07563873 -0.03339696 -0.14605288 -0.00572228 -0.10676705
 -0.03475032  0.05826139 -0.01566754 -0.02289861  0.15421118 -0.06001949
  0.07888018 -0.03073617  0.0513152   0.01288798 -0.00315124 -0.10896473
  0.00207858 -0.09433055  0.12300581 -0.01404097  0.00359587 -0.0861161
  0.05218341  0.02673796 -0.0510699   0.09026069  0.09694561  0.15664753
  0.123018   -0.05568161  0.0454045  -0.00339135  0.09624244  0.09817924
  0.01927176  0.02966119  0.05468224 -0.14136025]",0.04643634957762029,"['이쁘', '휴일']"
3,0,그런 걸 하면 거기서 또 목욕하고 그래야 되잖아 근데 나는 그런 데를 싫어해,"[-9.8572090e-02  4.3995067e-02 -1.7819831e-01  3.8528047e-04
 -4.3519791e-02  8.6080700e-02 -6.3247785e-02  9.0775780e-02
  4.9732897e-02  8.1785038e-02 -1.3100681e-01 -3.8643792e-02
 -5.4792422e-03  1.3582863e-02  7.1707480e-02  1.1148007e-02
 -1.1306431e-02 -7.7551679e-04 -1.7920049e-02 -9.8377690e-02
 -1.0286511e-03  7.0965275e-02 -3.8312763e-02  9.1417767e-03
  5.3218257e-02 -5.2557640e-02 -1.9511729e-02  9.9955045e-02
  5.4241642e-02  3.3413101e-02 -7.2727211e-02 -1.3307604e-02
  5.3718545e-02 -5.2587716e-03  2.3343507e-02  8.2691081e-02
 -3.7888296e-02  1.9164610e-01 -5.7137430e-02  1.7243357e-01
 -3.6998618e-02  5.3506579e-02  1.0752400e-02  2.7969109e-02
 -7.8973761e-03  1.1031857e-01  1.5497510e-01  2.5562026e-02
 -9.1854431e-02 -5.4205153e-02  9.4036512e-02 -4.2905591e-02
  2.3349375e-02  1.1997639e-01  5.8488321e-02 -5.1127588e-03
  7.0086621e-02  6.7793247e-03 -6.4186864e-03  2.6314508e-02
 -5.5492382e-02  8.1654541e-02 -4.2969443e-02 -1.5392680e-01
 -2.4295435e-03 -1.0922736e-01 -3.8024243e-02  4.9335986e-02
 -1.7425323e-02 -2.1425707e-02  1.5638459e-01 -5.9929799e-02
  8.9201875e-02 -3.2972720e-02  5.2980833e-02  1.5966918e-02
 -4.7142995e-03 -1.1244341e-01 -9.5112884e-04 -8.5099019e-02
  1.1990652e-01 -1.0644074e-02 -1.1410245e-04 -8.9931861e-02
  6.1486792e-02  3.3263516e-02 -5.4706611e-02  8.4932819e-02
  1.0078141e-01  1.6355875e-01  1.1767408e-01 -6.8003573e-02
  3.9783977e-02 -6.1911452e-03  1.0052358e-01  1.0258778e-01
  2.3342596e-02  2.9586170e-02  5.0033987e-02 -1.4380030e-01]",0.04735254957945173,['목욕']
4,0,그래서 저에게 산은 신비의 산이다  새로운 산이다라는 생각이 듭니다,"[-0.09809455  0.04929532 -0.17593233  0.00813838 -0.03414804  0.08460081
 -0.06941016  0.09511863  0.04219772  0.07734009 -0.13890664 -0.0316958
 -0.01018741  0.01494128  0.07264952  0.02089648 -0.01257518  0.00241154
 -0.01742223 -0.1111443  -0.00437474  0.07187035 -0.0380992   0.02635899
  0.06052134 -0.05692908 -0.0064865   0.1099321   0.04946243  0.04331327
 -0.06421178 -0.01821678  0.04498588 -0.01398927  0.02546869  0.08052465
 -0.03936085  0.20008698 -0.06410631  0.15878993 -0.03112149  0.05357111
  0.01450518  0.02527483 -0.00420806  0.10400869  0.15391311  0.0249022
 -0.080875   -0.05376113  0.08932374 -0.04100338  0.02294877  0.10750141
  0.06105541 -0.00631686  0.06790799  0.01577407 -0.00103061  0.037583
 -0.04940603  0.07620429 -0.04121632 -0.14805925 -0.00177312 -0.10342065
 -0.03495425  0.05446702 -0.01285285 -0.02620982  0.1486713  -0.05651291
  0.0831718  -0.03150995  0.04822592  0.00882183  0.00721077 -0.12051539
  0.0030249  -0.09449505  0.12133992 -0.02027493 -0.00372076 -0.09738118
  0.05880862  0.03629259 -0.05811908  0.09980685  0.09005879  0.17293048
  0.11977742 -0.05947058  0.04286347 -0.00540319  0.0987622   0.0981118
  0.01944957  0.0237323   0.04302458 -0.15713942]",0.04826898596633139,"['신비', '생각']"
5,0,그래서 어떻게 아느냐고 물으니까 피부가 다르다고 하더라고요,"[-0.08876251  0.05190312 -0.18167329  0.00155962 -0.04142675  0.08281791
 -0.06188309  0.09297879  0.04506392  0.0781212  -0.13620129 -0.0310863
 -0.01655464  0.01655985  0.07274063  0.02240011 -0.01239161 -0.0019148
 -0.01801448 -0.09754971  0.00510853  0.05707844 -0.03596201  0.02491362
  0.04808154 -0.05870003 -0.02058613  0.11361875  0.05175496  0.03465515
 -0.0743721  -0.01307789  0.05537694 -0.01250338  0.01596903  0.08006164
 -0.03980889  0.19053005 -0.06164327  0.16367154 -0.02641389  0.05648537
  0.0149077   0.03157049 -0.00499857  0.1082134   0.15527108  0.0301916
 -0.07525333 -0.0545549   0.08827221 -0.03494774  0.02216199  0.10870185
  0.06023995  0.00294678  0.07403014  0.00462763 -0.01203825  0.02135119
 -0.06229381  0.07910492 -0.03866434 -0.14894028 -0.0126415  -0.10648023
 -0.0397989   0.04690553 -0.02550353 -0.02112614  0.14808771 -0.06152281
  0.09051359 -0.03163719  0.04914474  0.01734971  0.00072457 -0.11471283
  0.00771238 -0.09533065  0.12356674 -0.01832122 -0.00703483 -0.09645014
  0.05939678  0.02123042 -0.06122622  0.08483362  0.10310928  0.1552524
  0.11856974 -0.06270059  0.04065629  0.00820207  0.10403273  0.0942084
  0.01647801  0.01834722  0.04672269 -0.1414499 ]",0.04990615133376147,"['피부', '다르']"
6,0,그다음에 거기서 뭐든지 다 할 수 있게끔 되어있기는 하더라고,"[-0.1026528   0.04244184 -0.1841099   0.00918093 -0.03945728  0.08064015
 -0.07113786  0.08949972  0.0507466   0.08301546 -0.13644344 -0.03061983
 -0.00603218  0.00932654  0.07082321  0.01587674 -0.01331356 -0.00700587
 -0.00879596 -0.10795884 -0.00022589  0.06306219 -0.03202248  0.01842622
  0.05771704 -0.05062881 -0.01596565  0.11499095  0.06303256  0.03991876
 -0.06657381 -0.01575186  0.04882909 -0.01484622  0.02012267  0.08869307
 -0.04785681  0.19194153 -0.06440762  0.16573481 -0.03581912  0.05156371
  0.01318232  0.02879578 -0.01213556  0.1032755   0.158804    0.02672137
 -0.08961233 -0.0488675   0.09398335 -0.04716724  0.02186822  0.12098923
  0.05798532  0.0027115   0.07361761  0.00189528  0.00145793  0.03493943
 -0.05719081  0.08032423 -0.03608187 -0.14420013 -0.01629414 -0.10740589
 -0.04420757  0.05323484 -0.02773659 -0.02790016  0.16078474 -0.06470079
  0.09400013 -0.03389745  0.05636551  0.02271351  0.00264955 -0.10750715
 -0.00512839 -0.08926081  0.1256472  -0.01759414 -0.00326656 -0.09797196
  0.05116229  0.02934991 -0.05322774  0.09009217  0.09339236  0.17017798
  0.121763   -0.06600583  0.03309468  0.00347988  0.10056781  0.09779701
  0.02567547  0.02737493  0.04787121 -0.15553294]",0.05244384446356496,['다음']
7,0,그니까 우리도 놀기를 좋아하이  옛날에는 진짜 놀러 많이 다녔데이,"[-0.10279264  0.05487354 -0.17736961  0.00747406 -0.03803422  0.08849901
 -0.06196647  0.09185062  0.05983623  0.08009557 -0.13536666 -0.03889536
 -0.00870227  0.01168225  0.05327604  0.02072107 -0.02188267 -0.00020307
 -0.01959979 -0.09729484  0.0015371   0.06776083 -0.03493766  0.01919947
  0.05313957 -0.03990927 -0.01947431  0.10501459  0.06049658  0.03883421
 -0.07248047 -0.01043744  0.03946404  0.00458018  0.0337341   0.08266773
 -0.03235795  0.18881643 -0.06334158  0.16553833 -0.03253339  0.05002568
  0.00966545  0.01472457 -0.00287974  0.10468905  0.1433651   0.02309413
 -0.08188897 -0.05061305  0.08216599 -0.03672415  0.01603044  0.11300379
  0.06353936  0.00175097  0.06768753  0.00422919 -0.00130138  0.03762263
 -0.05428866  0.07513195 -0.03986113 -0.14550112 -0.0021638  -0.11372817
 -0.04343643  0.05272988 -0.02121397 -0.02770974  0.15603004 -0.05936571
  0.07970183 -0.04174792  0.05378873  0.00551453 -0.00349296 -0.11431192
 -0.00767259 -0.08667558  0.12873563 -0.02352907 -0.00357662 -0.09018749
  0.05511721  0.02352953 -0.06246541  0.09643971  0.08833369  0.15818763
  0.11905322 -0.05164641  0.04136058 -0.00714686  0.10254022  0.09618201
  0.0084145   0.01414353  0.05170314 -0.153732  ]",0.052756961048033596,['옛날']
8,0,그러니까 우리가 스트레스를 풀려면 주어진 쉬는 시간에 잘 쉬어야 될 것 같아,"[-0.0993806   0.04568171 -0.16666424 -0.00304073 -0.04836663  0.07793105
 -0.05378158  0.09469815  0.05244527  0.07155937 -0.13944744 -0.03175336
 -0.00399638  0.02059918  0.06370401  0.01109102 -0.00993059 -0.01040457
 -0.0147502  -0.10702001 -0.00289039  0.06166784 -0.04320809  0.02354817
  0.05824365 -0.05306529 -0.01548824  0.0997708   0.04711757  0.04008873
 -0.07094236 -0.00828898  0.05931033 -0.0065979   0.02105098  0.06986845
 -0.03881409  0.19218019 -0.0658908   0.16008985 -0.03116369  0.04073216
  0.01339845  0.0307038   0.00224368  0.10299087  0.15143906  0.02371685
 -0.08448186 -0.05029061  0.08491378 -0.04040338  0.02759341  0.11086249
  0.06023401  0.00787877  0.06411961  0.00175091 -0.01154783  0.03159674
 -0.05129672  0.07446621 -0.03800097 -0.14132315 -0.01394356 -0.10328488
 -0.04214703  0.05222205 -0.01884312 -0.01847098  0.14794762 -0.06391273
  0.08486475 -0.03314973  0.05188333  0.010953   -0.00947289 -0.1113154
  0.00223708 -0.09411385  0.12139522 -0.02029763  0.00197213 -0.09583794
  0.06211048  0.02960149 -0.05651146  0.08630296  0.09629987  0.15179011
  0.10987633 -0.05157474  0.03412145  0.0063928   0.099929    0.09135791
  0.01580256  0.02368792  0.04718422 -0.14344819]",0.053531345684364254,"['스트레스', '시간']"
9,0,그래서 못 가 본 데가 많고 해서 아직은 더 알아보고 다니고 있어요,"[-0.09211064  0.05529052 -0.18667929 -0.00116427 -0.04042449  0.08392124
 -0.05913397  0.09228465  0.04935017  0.07275981 -0.13913254 -0.04207285
 -0.01572639  0.01683577  0.06709619  0.01063032 -0.0196779   0.0012937
 -0.00893643 -0.11358775 -0.00563599  0.06181494 -0.0402897   0.01675592
  0.04582847 -0.05652372 -0.01054355  0.10691384  0.04998266  0.03864179
 -0.06470163 -0.02356558  0.05462265 -0.00229702  0.02456314  0.08260108
 -0.04583624  0.20246899 -0.05853112  0.16959733 -0.0299971   0.04155516
  0.02195592  0.03206674 -0.00932883  0.10865775  0.15317246  0.03246377
 -0.0848362  -0.05767548  0.09219599 -0.04782181  0.00930916  0.12155539
  0.06266366  0.00280948  0.06996312  0.00222754 -0.0096473   0.03200405
 -0.05340712  0.07470684 -0.04452521 -0.15895005 -0.0031009  -0.10459213
 -0.04536751  0.04852283 -0.0216856  -0.01545339  0.15207689 -0.05429542
  0.08367075 -0.03932314  0.0587574   0.01999695 -0.00132769 -0.10626508
  0.00043542 -0.09602256  0.12211201 -0.01929394  0.00167756 -0.09736141
  0.060621    0.02542164 -0.05716044  0.0862802   0.09199895  0.16459824
  0.1191364  -0.05680902  0.03181986  0.00196263  0.11510086  0.10220103
  0.0251439   0.030662    0.04657741 -0.15274334]",0.053557060921633155,"['알아보', '다니']"
